k,Ek
1.0,0.04901912475435054
2.0,0.201523686621158
3.0,0.49920636760633835
4.0,1.3766754744650824
5.0,2.5129061221565827
6.0,4.38959731390532
7.0,5.3125013113156525
8.0,7.4499662887765545
9.0,11.154225122796841
10.0,11.960018188001326
11.0,13.93480804402127
12.0,16.427769616301767
13.0,17.657193247571488
14.0,18.99211418421773
15.0,18.55866456633469
16.0,20.46280134851733
17.0,19.204461851127565
18.0,19.597746930910517
19.0,17.19642855073713
20.0,17.351748940680423
21.0,16.432905518592282
22.0,14.466755964789405
23.0,13.593370329086243
24.0,12.858115093256535
25.0,12.265902510934266
26.0,11.529899265567636
27.0,10.336499766053363
28.0,10.174127034549064
29.0,9.552461600067257
30.0,9.114119874428722
31.0,8.900825100353671
32.0,8.315197366882504
33.0,8.317358061724144
34.0,8.021187576131386
35.0,7.414279646303492
36.0,7.322878753429909
37.0,6.9389986330933455
38.0,6.745879726567083
39.0,6.3445776638941584
40.0,6.174115679397191
41.0,6.021985793763955
42.0,5.727440938381771
43.0,5.526900031044596
44.0,5.209478911952246
45.0,5.210375969225429
46.0,4.83410219324465
47.0,4.6567532650639825
48.0,4.628553378446016
49.0,4.468301929109541
50.0,4.3072478082626375
51.0,4.094624757690432
52.0,3.9944834236751845
53.0,3.880054867546275
54.0,3.724790559266121
55.0,3.6002956930746253
56.0,3.4872136422379936
57.0,3.4736366231018163
58.0,3.3058257036225114
59.0,3.1795772815010777
60.0,3.1556724056056873
61.0,3.0217487471027447
62.0,2.9450909130043703
63.0,2.8022910144949487
64.0,2.7777119936059615
65.0,2.749084065413444
66.0,2.6142495841216604
67.0,2.5765656336284044
68.0,2.4636872147016384
69.0,2.4620321856542025
70.0,2.338379948975896
71.0,2.2605934788195174
72.0,2.253755775265301
73.0,2.1696169088595902
74.0,2.1529147512426112
75.0,2.055778462993765
76.0,2.034743082883924
77.0,2.0001030794605263
78.0,1.9133012012417823
79.0,1.8824795594051291
80.0,1.8318101840530265
81.0,1.8187821878956498
82.0,1.7619113079861894
83.0,1.705684880738362
84.0,1.6638514276801752
85.0,1.656494111633437
86.0,1.605702373545597
87.0,1.5535895273648297
88.0,1.5397241656353569
89.0,1.511450547568105
90.0,1.4942180814898853
91.0,1.4395471688598724
92.0,1.4189872415755749
93.0,1.3876716322203273
94.0,1.3518857124404147
95.0,1.3201045276096808
96.0,1.3072402585396143
97.0,1.2852018523324307
98.0,1.2684120512815849
99.0,1.2190848053480674
100.0,1.2062390737135147
101.0,1.1860258645796293
102.0,1.1584628676035238
103.0,1.1416217180594834
104.0,1.0980325963067061
105.0,1.1154489860236294
106.0,1.0717438293211279
107.0,1.0582123322353154
108.0,1.0370448579867815
109.0,1.0324683031904096
110.0,1.0014416250893783
111.0,0.974799736049729
112.0,0.9711329207804071
113.0,0.9532575890715058
114.0,0.9438653767124664
115.0,0.911272496047875
116.0,0.9101324654154324
117.0,0.8977356155152985
118.0,0.8718658322064611
119.0,0.8552031338619869
120.0,0.8508712954392129
121.0,0.8372096069392985
122.0,0.822718844049999
123.0,0.8098174849913542
124.0,0.7948529469925767
125.0,0.7888150040987711
126.0,0.7645854153613184
127.0,0.7570712365728585
128.0,0.7464259115365848
129.0,0.7425302233392184
130.0,0.7260298321907427
131.0,0.708749448961923
132.0,0.7122711943178358
133.0,0.6900786236029813
134.0,0.6854835063946642
135.0,0.6670431821342117
136.0,0.6654839079201664
137.0,0.6621196277080268
138.0,0.6430628990949849
139.0,0.6306814464608961
140.0,0.6286909355621946
141.0,0.6197573673394196
142.0,0.615772782248633
143.0,0.5958908185909326
144.0,0.5943605361120475
145.0,0.5883054783468035
146.0,0.5788695232633434
147.0,0.5698319405598418
148.0,0.5634807104037942
149.0,0.5591705793427483
150.0,0.5471857660638394
151.0,0.5366528027136962
152.0,0.5340697694720817
153.0,0.5288536382426209
154.0,0.5231175767531026
155.0,0.5109122659577732
156.0,0.5086678891254156
157.0,0.5032908023210503
158.0,0.4940339415279832
159.0,0.48789720020986654
160.0,0.48368661137105173
161.0,0.48162828783816913
162.0,0.4686572685011027
163.0,0.4672218934930995
164.0,0.4572412447093098
165.0,0.45742399437758036
166.0,0.4449036947280266
167.0,0.4465122687802233
168.0,0.4379908537509482
169.0,0.4337520882518104
170.0,0.4319810039625085
171.0,0.4224535141837207
172.0,0.41839885469398685
173.0,0.4140670917756472
174.0,0.4111308277658654
175.0,0.40083778352369953
176.0,0.401759856249132
177.0,0.39672830344815896
178.0,0.39291295857267583
179.0,0.38651203660486255
180.0,0.38271133211790304
181.0,0.38013793501504367
182.0,0.3745323683269862
183.0,0.3718135869777021
184.0,0.3656232103524384
185.0,0.3630415362808751
186.0,0.358841528096054
187.0,0.3561183810942767
188.0,0.3525582618101687
189.0,0.348672144222975
190.0,0.34224809714310933
191.0,0.3412071042525296
192.0,0.3378074010041881
193.0,0.3328594156725834
194.0,0.3315194525120643
195.0,0.3273155768297219
196.0,0.3254059715099995
197.0,0.3206502096620733
198.0,0.31770037016481995
199.0,0.31361450212875785
200.0,0.31117485944776846
201.0,0.30972690784304424
202.0,0.30599575681178504
203.0,0.30119636168202824
204.0,0.29908908334286544
205.0,0.2976883920546128
206.0,0.29229425016635313
207.0,0.29113086851439657
208.0,0.28869589618315084
209.0,0.2864325663505377
210.0,0.2826231869748925
211.0,0.2795924873743705
212.0,0.2774959784495011
213.0,0.2751924303934431
214.0,0.2734342885999469
215.0,0.2690527113641497
216.0,0.26693778462391393
217.0,0.2668065375014801
218.0,0.26205064359750113
219.0,0.2606451829204098
220.0,0.2579480094895128
221.0,0.25730192818621
222.0,0.25287223848506424
223.0,0.2515871263398462
224.0,0.24848905844979532
225.0,0.24795441606612878
226.0,0.245149361635009
227.0,0.24222859130127722
228.0,0.24067128004455748
229.0,0.23879779601945256
230.0,0.23646016381241397
231.0,0.23355437333065587
232.0,0.23347770358224407
233.0,0.2309096485138678
234.0,0.22987409678338555
235.0,0.22527360907730865
236.0,0.22541475030099659
237.0,0.2232501729830615
238.0,0.22098893499738526
239.0,0.2199430354215821
240.0,0.2171929657666649
241.0,0.2167154454237646
242.0,0.21422092958688776
243.0,0.21241322194802045
244.0,0.21144298986058552
245.0,0.2093980829229698
246.0,0.2072356659793689
247.0,0.20505404836681868
248.0,0.20486409538717174
249.0,0.20275345419864155
250.0,0.20035683013607652
251.0,0.19927177111987937
252.0,0.1983650638761646
253.0,0.19685258544590428
254.0,0.19451832265564234
255.0,0.19283609622850725
256.0,0.1931140599728683
257.0,0.19063789654057017
258.0,0.1890506974508222
259.0,0.18768836138182912
260.0,0.18656624219053355
261.0,0.18543204870358215
262.0,0.18332417406861581
263.0,0.1819813388041946
264.0,0.18062674203196688
265.0,0.18057062235376248
266.0,0.17762621919603155
267.0,0.17671298005541866
268.0,0.1761050676259593
269.0,0.1750622747075561
270.0,0.17301065664172155
271.0,0.1714967723686747
272.0,0.17086059644299217
273.0,0.17008439421773947
274.0,0.16874154992234697
275.0,0.16695036595406418
276.0,0.16599341938639853
277.0,0.16539616330288515
278.0,0.16353452407572347
279.0,0.16199333555770493
280.0,0.16227387942356525
281.0,0.16051556832997613
282.0,0.15953119883001726
283.0,0.1583876105839991
284.0,0.15754041034778934
285.0,0.15658925386886285
286.0,0.15446153734681495
287.0,0.15431502515467188
288.0,0.1531099104121299
289.0,0.15269277395582326
290.0,0.1512348943475791
291.0,0.15045222107700837
292.0,0.14952629806573695
293.0,0.14798767047855113
294.0,0.1475710782725696
295.0,0.14606893044004057
296.0,0.14544116978844268
297.0,0.1447596341428721
298.0,0.14353224613779
299.0,0.1428639692588087
300.0,0.14142876504667293
301.0,0.1414191558272774
302.0,0.13992764108594224
303.0,0.13955258399466816
304.0,0.13828844535088883
305.0,0.1376391959947528
306.0,0.13711097788763668
307.0,0.13579104405047374
308.0,0.13508917458942832
309.0,0.13441099720969713
310.0,0.13369243741911327
311.0,0.13269502137841413
312.0,0.13209255508929343
313.0,0.13075343536575565
314.0,0.13091905220983746
315.0,0.12961976585905818
316.0,0.12891600778624174
317.0,0.12739137845223628
318.0,0.12802855154869347
319.0,0.12640159194128245
320.0,0.1261307725676613
321.0,0.12582122614077526
322.0,0.12450346972587523
323.0,0.12406996709169901
324.0,0.12333242895789694
325.0,0.12240690098524987
326.0,0.12220793281375585
327.0,0.12126037499686884
328.0,0.12034499783637423
329.0,0.12008553173858565
330.0,0.11936784418691122
331.0,0.11858288209698495
332.0,0.1179028526649813
333.0,0.11758954233538645
334.0,0.116426430262095
335.0,0.11622396042057966
336.0,0.11554427323503781
337.0,0.11506220391953507
338.0,0.1145768557299973
339.0,0.11348776541413674
340.0,0.11322277338613564
341.0,0.11278285095143542
342.0,0.11229443140574347
343.0,0.11140230002426772
344.0,0.11083469157959461
