k,E_rho
1.0,9.760664263840458e-40
2.0,7.712468120770818e-39
3.0,1.76051824840242e-38
4.0,4.910224673461928e-38
5.0,9.798658237353828e-38
6.0,1.523365963021204e-37
7.0,2.044191055053671e-37
8.0,2.4895583089337306e-37
9.0,3.994272998140766e-37
10.0,4.3048169251272746e-37
11.0,4.921650593313991e-37
12.0,6.235075611829349e-37
13.0,6.555835073873366e-37
14.0,7.088635663603624e-37
15.0,6.802328218111297e-37
16.0,7.487602780134215e-37
17.0,7.551941360227968e-37
18.0,7.118253146984337e-37
19.0,6.300210908814451e-37
20.0,6.114471884649265e-37
21.0,5.3997882659317e-37
22.0,4.349870182593052e-37
23.0,3.6855283187134136e-37
24.0,2.8119389745294705e-37
25.0,2.127269019617745e-37
26.0,1.5202151429870876e-37
27.0,9.87906775529349e-38
28.0,6.334550649093032e-38
29.0,3.64096200355063e-38
30.0,2.0386841481229758e-38
31.0,1.1095899126184757e-38
32.0,5.716515216368658e-39
33.0,2.72613592318394e-39
34.0,1.2267948149517608e-39
35.0,5.2072374498246076e-40
36.0,2.269465519279172e-40
37.0,8.455953530088078e-41
38.0,3.161540323188416e-41
39.0,1.2720155408981742e-41
40.0,5.267021625635017e-42
41.0,2.5065301300848184e-42
42.0,1.5324135628984142e-42
43.0,1.2060892867311564e-42
44.0,9.694442395650826e-43
45.0,6.9924670951947814e-43
46.0,4.607141513162948e-43
47.0,3.0201736219816743e-43
48.0,1.8031993617456285e-43
49.0,9.721561823894232e-44
50.0,4.385469220443307e-44
51.0,1.860454037810336e-44
52.0,7.557945827033412e-45
53.0,2.7996864109047694e-45
54.0,9.50436743189731e-46
55.0,2.7465000228564576e-46
56.0,7.692972537356149e-47
57.0,1.4011596059050478e-47
58.0,1.9883926544627228e-48
59.0,7.053261991649581e-49
60.0,5.1032334383863525e-49
61.0,4.1841138555988886e-49
62.0,2.6479973238028765e-49
63.0,6.340949456182352e-49
64.0,8.449354261246691e-49
65.0,4.2003424624643015e-49
66.0,4.418837485591459e-49
67.0,5.5355335444781106e-49
68.0,3.591098648730763e-49
69.0,1.7193470968747447e-49
70.0,2.89830920886138e-50
71.0,3.712296594027447e-51
72.0,8.055235006031468e-52
73.0,1.2637819796092542e-52
74.0,1.5628007587306842e-53
75.0,2.059918401890497e-54
76.0,4.045330835142387e-55
77.0,2.530277540813172e-55
78.0,1.6836333581046794e-55
79.0,1.1165686709574878e-55
80.0,3.875840075590364e-56
81.0,4.471521683997266e-57
82.0,1.2265980203446002e-57
83.0,8.022894885470826e-59
84.0,7.189997642007334e-60
85.0,8.27333776776164e-61
86.0,5.256105880367694e-61
87.0,5.489963988641622e-61
88.0,3.0491979308771247e-61
89.0,1.9591746482678557e-61
90.0,5.18375531200544e-62
91.0,1.099144174676699e-62
92.0,6.4808809516634205e-62
93.0,4.40828961881297e-62
94.0,5.397413941450881e-65
95.0,1.5727165148730758e-66
96.0,1.874173916725695e-67
97.0,6.873411559155249e-68
98.0,2.7064273139138656e-68
99.0,2.5805257417047015e-68
100.0,2.55549595413653e-68
101.0,3.1908786775918812e-68
102.0,3.162332566381461e-68
103.0,3.0016764816061025e-68
104.0,4.017878975232273e-68
105.0,3.073133822332163e-68
106.0,3.5636761113147475e-68
107.0,2.951146134186713e-68
108.0,5.504712506748519e-68
