k,E_rho
109.0,3.316015072547921e-68
110.0,3.1074604306952536e-68
111.0,3.098134808626622e-68
112.0,3.978051705322891e-68
113.0,3.8921533842196325e-68
114.0,4.165425223170247e-68
115.0,4.622417122810013e-68
116.0,5.086175744768262e-68
117.0,4.315182102697729e-68
118.0,4.772198832744409e-68
119.0,5.424971146445464e-68
120.0,7.93199216678482e-68
121.0,4.9893871422949e-68
122.0,5.077635470535265e-68
123.0,5.544083685306363e-68
124.0,6.264387668246932e-68
125.0,5.343577027166932e-68
126.0,5.722110509448913e-68
127.0,5.6918427205953786e-68
128.0,1.0884037810417743e-66
129.0,5.764350785962906e-68
130.0,6.459176660347461e-68
131.0,6.652391157938192e-68
132.0,8.08957047563689e-68
133.0,7.186535370112979e-68
134.0,7.472736401453725e-68
135.0,7.613899112326116e-68
136.0,6.413173255830807e-68
137.0,8.047500591708517e-68
138.0,6.353512036993438e-68
139.0,5.719442220873193e-68
140.0,6.501226139327569e-68
141.0,5.7146409744968205e-68
142.0,4.87236461790143e-68
143.0,4.732491889882601e-68
144.0,1.8400994518952816e-67
145.0,6.205339528510019e-68
146.0,4.96096947023744e-68
147.0,4.651078889669559e-68
148.0,5.2677372251013374e-68
149.0,7.037152165619999e-68
150.0,5.0178476433390175e-68
151.0,4.4597169086385565e-68
152.0,6.57307264603063e-68
153.0,5.198100161646952e-68
154.0,4.715853876872341e-68
155.0,4.7469518256269115e-68
156.0,4.852172779540864e-68
157.0,4.349220017282794e-68
158.0,5.142371565163145e-68
159.0,5.349091489428275e-68
160.0,1.558539766081794e-67
161.0,5.398809776993782e-68
162.0,5.484925489389119e-68
163.0,5.4958885313952845e-68
164.0,1.0136445367517194e-67
165.0,5.440804098083935e-68
166.0,5.144718748042363e-68
167.0,5.644709437430914e-68
168.0,7.478349129802576e-68
169.0,5.465896715340869e-68
170.0,5.4494670277578255e-68
171.0,5.526330346978115e-68
172.0,5.5413786744624984e-68
173.0,5.977419214433976e-68
174.0,6.391118760341167e-68
175.0,5.975571591327822e-68
176.0,1.1105394113943607e-67
177.0,7.33522839897049e-68
178.0,6.963941512995926e-68
179.0,8.40741038020722e-68
180.0,7.822393676068515e-68
181.0,7.017510036581765e-68
182.0,8.189220475224272e-68
183.0,8.412625943676285e-68
184.0,1.3463284033573009e-67
185.0,8.317307714763029e-68
186.0,1.0030272402236046e-67
187.0,1.135442635716206e-67
188.0,1.038934751013838e-67
189.0,9.148588513560647e-68
190.0,9.899487217525926e-68
191.0,9.439494381005412e-68
192.0,9.18320854126121e-67
193.0,9.384606691248398e-68
194.0,9.442459497699628e-68
195.0,1.0166078173089938e-67
196.0,9.498373196332495e-68
197.0,9.359099517660305e-68
198.0,1.0045489691549338e-67
199.0,9.928359286100348e-68
200.0,8.854644140641325e-68
201.0,9.12100376575567e-68
202.0,8.960228857191576e-68
203.0,8.42705579868066e-68
204.0,9.09465540505599e-68
205.0,9.667460569444286e-68
206.0,8.270812491722225e-68
207.0,8.119304752778854e-68
208.0,1.4472064188147583e-67
209.0,8.491103232239131e-68
210.0,8.473930861292865e-68
211.0,8.52974104910897e-68
212.0,8.746157436652171e-68
213.0,8.383515782512784e-68
214.0,7.835204516260435e-68
215.0,9.134827242140147e-68
216.0,8.098053662922457e-68
217.0,8.62291791843297e-68
218.0,8.31778028138235e-68
219.0,8.274457053047293e-68
220.0,8.618313655067344e-68
221.0,9.888673327878619e-68
222.0,9.87033677177046e-68
223.0,8.333373994266345e-68
224.0,2.3535681171867365e-67
225.0,8.723254194661656e-68
226.0,9.352661715876402e-68
227.0,9.983670817541148e-68
228.0,1.2439760990073955e-67
229.0,9.207266610901963e-68
230.0,1.0029860501804933e-67
231.0,9.994560374867026e-68
232.0,9.187575706711026e-68
233.0,9.830395419558231e-68
234.0,9.22105860615562e-68
235.0,9.395561320190578e-68
236.0,9.21093267430909e-68
237.0,1.03803206783301e-67
238.0,1.0149340407037528e-67
239.0,1.0899135510118396e-67
240.0,1.148354949139503e-67
241.0,1.2232729920341651e-67
242.0,1.2528382276842923e-67
243.0,1.3723512014078166e-67
244.0,1.3341943506521218e-67
245.0,1.4557030751792912e-67
246.0,1.3964342062503904e-67
247.0,1.5927881027081578e-67
248.0,1.8289857259847275e-67
249.0,1.724013872748035e-67
250.0,1.679789214866993e-67
251.0,1.7692531329927162e-67
252.0,1.873084033026121e-67
253.0,1.977532622317726e-67
254.0,1.8076361121701374e-67
255.0,2.0034466308355795e-67
256.0,5.492005494737313e-67
257.0,2.087538766295994e-67
258.0,1.95624125929721e-67
259.0,1.951616529811416e-67
260.0,2.142690126812565e-67
261.0,2.053723568156795e-67
262.0,2.0202877518444205e-67
263.0,1.850116866536893e-67
264.0,2.0806967182317184e-67
265.0,2.028669059122623e-67
266.0,1.892678949183083e-67
267.0,1.647551908813982e-67
268.0,1.8422361293446454e-67
269.0,1.596208326223017e-67
270.0,1.4829421505292326e-67
271.0,1.5923104874314365e-67
272.0,1.804401577292132e-67
273.0,1.423202997438367e-67
274.0,1.629657860097674e-67
275.0,1.4342141177542364e-67
276.0,1.4726606626187372e-67
277.0,1.4003521075475621e-67
278.0,1.5672993058617027e-67
279.0,1.4425065807114894e-67
280.0,1.4701194645497621e-67
281.0,1.569457354922765e-67
282.0,1.4613540575979585e-67
283.0,1.5135130445343604e-67
284.0,2.186004055079801e-67
285.0,1.4371447479086203e-67
286.0,1.3950965842816261e-67
287.0,1.460997862408756e-67
288.0,4.9610400156945426e-67
289.0,1.5422229697895766e-67
290.0,1.6047268125033965e-67
291.0,1.5187061375723875e-67
292.0,1.726814820066012e-67
293.0,1.4945534886416422e-67
294.0,1.5095710981552192e-67
295.0,1.5758341922177868e-67
296.0,1.74943060912363e-67
297.0,1.663294784308108e-67
298.0,1.6366948192827176e-67
299.0,1.6106002893034005e-67
300.0,1.5318377450286706e-67
301.0,1.4893345107328997e-67
302.0,1.5927081914143603e-67
303.0,1.548205953464785e-67
304.0,4.814749293518037e-67
305.0,1.7661039161606157e-67
306.0,1.6237401921172205e-67
307.0,1.7297902616393227e-67
308.0,1.7101849843025444e-67
309.0,1.8491401548906705e-67
310.0,1.7850304515981187e-67
311.0,1.848385332930744e-67
312.0,1.8538355310911754e-67
313.0,1.8438442565154315e-67
314.0,1.9354319332169115e-67
315.0,1.956785265241418e-67
316.0,3.258259586222295e-67
317.0,1.8872230581946326e-67
318.0,2.0108145123570844e-67
319.0,2.0733116980169545e-67
320.0,5.6710829652236e-67
321.0,2.5304391532352843e-67
322.0,2.4344632596644702e-67
323.0,2.3637852652249112e-67
324.0,2.037621403880968e-67
325.0,2.085685198816902e-67
326.0,2.2982473219645732e-67
327.0,2.1493253772673855e-67
328.0,5.378060671661275e-67
329.0,2.1347815408885055e-67
330.0,2.0220401818512914e-67
331.0,2.128890086450614e-67
332.0,2.069009565810802e-67
333.0,1.993969619214684e-67
334.0,2.0499539597401833e-67
335.0,1.978925417861379e-67
336.0,2.848949683597969e-67
337.0,2.139575675711947e-67
338.0,2.314608257989823e-67
339.0,1.9877511224696645e-67
340.0,2.1159308853700446e-67
341.0,2.092244233642204e-67
342.0,2.1045461530580274e-67
343.0,2.0703434715178626e-67
344.0,2.4556565503417737e-67
345.0,2.1146327764187496e-67
346.0,2.1543050404068977e-67
347.0,2.144763475134463e-67
348.0,2.1611879166234516e-67
349.0,2.084534798717463e-67
350.0,2.3955522654458528e-67
351.0,2.0270132433036543e-67
352.0,1.0965289478785765e-66
353.0,2.4251156080534394e-67
354.0,2.238024904983022e-67
355.0,2.3289778229955306e-67
356.0,2.713673983348727e-67
357.0,2.2186001656599868e-67
358.0,2.2745644621746262e-67
359.0,2.2596001745354436e-67
360.0,4.364911379483168e-67
361.0,2.33838908204633e-67
362.0,2.363165885038401e-67
363.0,2.208960535132438e-67
364.0,2.2047672325216538e-67
365.0,2.2866291147585273e-67
366.0,2.3178399331535546e-67
367.0,2.427966775091272e-67
368.0,4.368002753164469e-67
369.0,2.411859107019646e-67
370.0,2.5744457739922316e-67
371.0,2.4471176129687947e-67
372.0,2.789444287742951e-67
373.0,2.5406184591999108e-67
374.0,2.6963012184447918e-67
375.0,2.7126008613896177e-67
376.0,3.032093110567457e-67
377.0,2.6907587491082584e-67
378.0,2.7868424109044302e-67
379.0,2.9810061808873413e-67
380.0,2.8776323397273153e-67
381.0,2.9031374950949775e-67
382.0,2.8134531408335177e-67
383.0,2.9559447114639075e-67
384.0,8.269515750920388e-67
385.0,3.393390270043014e-67
386.0,3.167204752897749e-67
387.0,3.303537877642616e-67
388.0,3.3807863506183174e-67
389.0,3.176411345712611e-67
390.0,3.089742608426063e-67
391.0,3.15600958310908e-67
392.0,3.608713146058662e-67
393.0,2.940922320700048e-67
394.0,3.5478268170810704e-67
395.0,3.0165654515001676e-67
396.0,2.868466486977324e-67
397.0,3.093168335938068e-67
398.0,3.022696858328324e-67
399.0,3.1506742928685026e-67
400.0,4.785839695826658e-67
401.0,2.8907908137577425e-67
402.0,2.847845404784741e-67
403.0,3.1855105624465635e-67
404.0,2.979235925234625e-67
405.0,2.885369097909169e-67
406.0,2.862255111949703e-67
407.0,3.0408378405381416e-67
408.0,3.437380620715419e-67
409.0,3.476019232981526e-67
410.0,2.965978810240916e-67
411.0,3.184520282300488e-67
412.0,3.0120431856252886e-67
413.0,3.259486294654586e-67
414.0,3.733083340465535e-67
415.0,3.154241723327201e-67
416.0,4.4106141769406036e-67
417.0,3.817102030459846e-67
418.0,3.154086839731924e-67
419.0,3.4317355294727777e-67
420.0,4.08149184594749e-67
421.0,3.2480064898321556e-67
422.0,3.263193210807253e-67
423.0,3.208785772819787e-67
424.0,4.723035844645307e-67
425.0,3.416825105315687e-67
426.0,3.449676422420403e-67
427.0,3.319975999549406e-67
428.0,3.503244959492856e-67
429.0,3.86367140127115e-67
430.0,3.1906579300120313e-67
431.0,3.3801777105126894e-67
432.0,3.527219882002843e-67
433.0,3.790326164281406e-67
434.0,3.343302733811739e-67
435.0,3.7367090575094305e-67
436.0,4.989607958384726e-67
437.0,3.705287728526296e-67
438.0,3.563605563323583e-67
439.0,3.933339585732497e-67
440.0,4.3603885886104546e-67
441.0,3.777116431600714e-67
442.0,3.717596733529741e-67
443.0,3.77458894196025e-67
444.0,4.063917580072862e-67
445.0,3.698995908450152e-67
446.0,4.2016137543972124e-67
447.0,3.905206839943756e-67
448.0,5.0353121077125055e-67
449.0,3.987448817180351e-67
450.0,3.958398949912646e-67
451.0,4.0790870832710376e-67
452.0,4.682084389238162e-67
453.0,4.100985814739008e-67
454.0,4.1461384888300954e-67
455.0,3.9786127967585866e-67
456.0,3.934463307119711e-67
457.0,4.076086076884604e-67
458.0,3.9861490372811224e-67
459.0,3.894897975064062e-67
460.0,4.5782083470404855e-67
461.0,3.9841994776254466e-67
462.0,3.9485053691015625e-67
463.0,4.0698215003869595e-67
464.0,3.974593653494274e-67
465.0,4.02497548639939e-67
466.0,4.09023387357009e-67
467.0,4.146485432631658e-67
468.0,4.039723747020101e-67
469.0,4.0144026564721494e-67
470.0,3.984606520229554e-67
471.0,4.38369669920864e-67
472.0,4.4350134623765535e-67
473.0,4.2071173899827826e-67
474.0,3.996652896566537e-67
475.0,4.11593681181621e-67
476.0,4.378613481853955e-67
477.0,4.324312686251243e-67
478.0,4.231663728333055e-67
479.0,4.2476882111001064e-67
480.0,4.458868037399632e-67
481.0,4.4154742372102606e-67
482.0,4.522848051427688e-67
483.0,4.271762706552219e-67
484.0,5.093492333474083e-67
485.0,4.627399566330611e-67
486.0,4.3100064297460375e-67
487.0,4.386861883255573e-67
488.0,4.702244750303567e-67
489.0,4.5382133471884227e-67
490.0,4.580002590239855e-67
491.0,4.9263189485540143e-67
492.0,4.647377627137719e-67
493.0,4.800879441294406e-67
494.0,5.875342551136804e-67
495.0,5.141301028277426e-67
496.0,7.225885716461223e-67
497.0,5.79619156126429e-67
498.0,6.452241672466463e-67
499.0,6.575365246258845e-67
500.0,6.623793982218748e-67
501.0,6.900141050218968e-67
502.0,7.1941703806118e-67
503.0,7.379101107692178e-67
504.0,8.136895381952046e-67
505.0,8.344194970071925e-67
506.0,9.121171729143977e-67
507.0,9.2515229694178e-67
508.0,1.0193101596044378e-66
509.0,8.91779800829148e-67
510.0,9.461299782065914e-67
511.0,9.81374736623837e-67
512.0,1.1657059972186928e-66
513.0,5.28040386686158e-67
514.0,4.64540579873899e-67
515.0,4.534606615410748e-67
516.0,4.847877004207029e-67
517.0,4.467642056646778e-67
518.0,4.4097006306836384e-67
519.0,4.463854159305179e-67
520.0,4.243124270924275e-67
521.0,4.4034832472258756e-67
522.0,4.208875773455157e-67
523.0,4.2056943979564057e-67
524.0,4.0931182403766956e-67
525.0,4.390930691070656e-67
526.0,4.059652609859349e-67
527.0,4.2164824104916766e-67
528.0,4.274417340406904e-67
529.0,4.0892143222167036e-67
530.0,4.193768843605349e-67
531.0,3.962347667844578e-67
532.0,3.96198746341419e-67
533.0,3.936583885058437e-67
534.0,3.9838455097071176e-67
535.0,4.066554907516077e-67
536.0,3.9241015703875826e-67
537.0,4.019096007894145e-67
538.0,3.905752777609207e-67
539.0,4.0010066281560165e-67
540.0,4.0766320350844404e-67
541.0,4.0849559833900055e-67
542.0,3.9560712973252235e-67
543.0,3.8460797598438245e-67
544.0,4.089132656161944e-67
545.0,3.864902359390932e-67
546.0,3.833200707098206e-67
547.0,3.7473537685392176e-67
548.0,3.923234002220004e-67
549.0,3.8836845367974415e-67
550.0,3.717575561966589e-67
551.0,3.8470879290708e-67
552.0,3.76532652256605e-67
553.0,3.790616284811884e-67
554.0,3.728275354547389e-67
555.0,3.811870087666733e-67
556.0,3.92115836461091e-67
557.0,3.732139478109352e-67
558.0,3.6662175001215764e-67
559.0,3.787663416651424e-67
560.0,3.7786288003695565e-67
561.0,3.6842203531329495e-67
562.0,3.6932539436740546e-67
563.0,3.6386520773579383e-67
564.0,3.843668665098135e-67
565.0,3.576322473454723e-67
566.0,3.547222954116032e-67
567.0,3.5826369614570685e-67
568.0,3.697020976086866e-67
569.0,3.656247268395972e-67
570.0,3.620743519331225e-67
571.0,3.6246195644371047e-67
572.0,3.7455118176679524e-67
573.0,3.4477103858097913e-67
574.0,3.537362226678693e-67
575.0,3.4925267102543804e-67
576.0,3.4276112321859035e-67
577.0,3.560798351183464e-67
578.0,3.439104127063918e-67
579.0,3.4331835142774964e-67
580.0,3.3424590595734413e-67
581.0,3.439466964889173e-67
582.0,3.351848177417725e-67
583.0,3.344025685807636e-67
584.0,3.367684116867672e-67
585.0,3.409123384847462e-67
586.0,3.317673738075573e-67
587.0,3.318284676428163e-67
588.0,3.274318205747672e-67
589.0,3.282921319617623e-67
590.0,3.381164362399176e-67
591.0,3.315826434665649e-67
592.0,3.2542316266945414e-67
593.0,3.299360703843895e-67
594.0,3.2680278710410706e-67
595.0,3.260911153288728e-67
596.0,3.302980051105693e-67
597.0,3.1403320277356394e-67
598.0,3.278021659874254e-67
599.0,3.214429429781101e-67
600.0,3.240306477291619e-67
601.0,3.1612742264294566e-67
602.0,3.3391582933056396e-67
603.0,3.135166820261583e-67
604.0,3.1289674546703106e-67
605.0,3.24825275057513e-67
606.0,3.157063197358452e-67
607.0,3.103748842964524e-67
608.0,3.085170426427702e-67
609.0,3.186441644413145e-67
610.0,3.0328171161053396e-67
611.0,3.050070129547887e-67
612.0,3.0277241927681026e-67
613.0,2.972763603413803e-67
614.0,3.064375315905323e-67
615.0,3.134892169259212e-67
616.0,2.990832910991468e-67
617.0,2.995797774196428e-67
618.0,2.9573230495486805e-67
619.0,2.9836506239870786e-67
620.0,3.018628613295687e-67
621.0,2.851857149894663e-67
622.0,3.068836739471878e-67
623.0,2.875523094120324e-67
624.0,2.89789884152199e-67
625.0,2.9095234448925757e-67
626.0,2.994387077076919e-67
627.0,2.8426716869949793e-67
628.0,3.045194321837294e-67
629.0,2.883978958167967e-67
630.0,2.7891713376573014e-67
631.0,2.829887159067931e-67
632.0,2.847372408710816e-67
633.0,2.7574813893962532e-67
634.0,2.8697202246178768e-67
635.0,2.7969307532836076e-67
636.0,2.702452111262418e-67
637.0,2.6967785921851546e-67
638.0,2.7135918759031687e-67
639.0,2.8636467542170547e-67
640.0,2.7460973516298307e-67
641.0,2.7666470175756275e-67
642.0,2.696062682532786e-67
643.0,2.5930181570986813e-67
644.0,2.6227191362980252e-67
645.0,2.53355385744678e-67
646.0,2.522935860789309e-67
647.0,2.5473102954507104e-67
648.0,2.6037893836326453e-67
649.0,2.495413693623031e-67
650.0,2.595189407330472e-67
651.0,2.4313122068098712e-67
652.0,2.4630728724183842e-67
653.0,2.4753899918429227e-67
654.0,2.408384050208098e-67
655.0,2.383671743399048e-67
656.0,2.388136328395139e-67
657.0,2.3329010359835222e-67
658.0,2.3975409692962137e-67
659.0,2.3787506705691357e-67
660.0,2.370667138709592e-67
661.0,2.3225991135193142e-67
662.0,2.393263399875824e-67
663.0,2.2759902278170676e-67
664.0,2.275133115079156e-67
665.0,2.3282478842141212e-67
666.0,2.2313228120741925e-67
667.0,2.1863446292463597e-67
668.0,2.2887882460482148e-67
669.0,2.176971410611969e-67
670.0,2.1729716240388652e-67
671.0,2.178841722282293e-67
672.0,2.216380775054556e-67
673.0,2.089647666153751e-67
674.0,2.2937952988682394e-67
675.0,2.215625181795213e-67
676.0,2.0839607358674377e-67
677.0,2.150319287237044e-67
678.0,2.20153243068788e-67
679.0,1.9673669706865608e-67
680.0,2.2375723387706584e-67
681.0,2.0247344363266113e-67
682.0,2.0366849253148035e-67
683.0,1.9428633030113642e-67
684.0,2.097235970058319e-67
685.0,1.9588034472144943e-67
686.0,2.0242355169765993e-67
687.0,1.88790522916082e-67
688.0,1.849311545640272e-67
689.0,1.8433973487268895e-67
690.0,1.9284968993930605e-67
691.0,1.778258672633231e-67
692.0,1.8955165320630505e-67
693.0,1.8088879869896927e-67
694.0,1.929509493404738e-67
695.0,1.7414819819779205e-67
696.0,1.7613438689628163e-67
697.0,1.7809354126307083e-67
698.0,1.778486436029917e-67
699.0,1.660187551395174e-67
700.0,1.659838980692648e-67
701.0,1.6164241605491436e-67
702.0,1.6526481255369946e-67
703.0,1.5205636272083014e-67
704.0,1.5963984464574932e-67
705.0,1.6110659716369444e-67
706.0,1.521464990299853e-67
707.0,1.6348282881397467e-67
708.0,1.4311306129275414e-67
709.0,1.541153919198826e-67
710.0,1.4294348106872217e-67
711.0,1.485724412163065e-67
712.0,1.3819510351798123e-67
713.0,1.3746037371412555e-67
714.0,1.4233233740895596e-67
715.0,1.3010550479670659e-67
716.0,1.4791642991536703e-67
717.0,1.2525303147929365e-67
718.0,1.283418102616228e-67
719.0,1.2430280202631684e-67
720.0,1.1518830657151117e-67
721.0,1.3065237973666886e-67
722.0,1.1037919688606872e-67
723.0,1.2546254199514554e-67
724.0,1.0613067760591323e-67
725.0,1.008319467457437e-67
726.0,9.821331181058359e-68
727.0,9.600938745439799e-68
728.0,9.475439727621944e-68
729.0,9.2497828577001e-68
730.0,9.087232034377723e-68
731.0,8.950229990937196e-68
732.0,8.839570879071311e-68
733.0,8.694465554619972e-68
734.0,8.536064227650181e-68
735.0,8.381653656091185e-68
736.0,8.249423252162476e-68
737.0,8.148625456942524e-68
738.0,7.940781002583627e-68
739.0,7.815026277304666e-68
740.0,7.73281631911665e-68
741.0,7.656774233612837e-68
742.0,7.470583845170258e-68
743.0,7.319782772528697e-68
744.0,7.216387881983378e-68
745.0,7.121518220720162e-68
746.0,6.985941421761677e-68
747.0,6.914478519739079e-68
748.0,6.752943703936182e-68
749.0,6.714943269650535e-68
750.0,6.551605401968277e-68
751.0,6.5061032842986496e-68
752.0,6.320482889981227e-68
753.0,6.262934437470227e-68
754.0,6.171577984444459e-68
755.0,6.034315289189238e-68
756.0,5.928133985166298e-68
757.0,5.875540123940945e-68
758.0,5.760245913959649e-68
759.0,5.647641496878726e-68
760.0,5.576754061789234e-68
761.0,5.4623599423342115e-68
762.0,5.409797370036673e-68
763.0,5.31013274033978e-68
764.0,5.214574437591756e-68
765.0,5.147708563322648e-68
766.0,5.008196902860296e-68
767.0,4.964793199968968e-68
768.0,4.8259144845868215e-68
769.0,4.8178330910417975e-68
770.0,4.6827311070676434e-68
771.0,4.625363326411879e-68
772.0,4.5037218932799185e-68
773.0,4.497835847496306e-68
774.0,4.382240706157858e-68
775.0,4.293104265574078e-68
776.0,4.2144393377122245e-68
777.0,4.2097188425426355e-68
778.0,4.087118782001879e-68
779.0,4.006293236398716e-68
780.0,3.8880469446096754e-68
781.0,3.884659130029195e-68
782.0,3.775287791768506e-68
783.0,3.7009919756269544e-68
784.0,3.6907100075947947e-68
785.0,3.587333873286891e-68
786.0,3.5338943808300898e-68
787.0,3.4483537735930485e-68
788.0,3.4166188825331386e-68
789.0,3.290647131143005e-68
790.0,3.2701638414788202e-68
791.0,3.174654334187878e-68
792.0,3.1845811233896776e-68
793.0,3.0888015087761587e-68
794.0,3.00180944365591e-68
795.0,2.978826149555113e-68
796.0,2.8739497995392876e-68
797.0,2.8563129194552217e-68
798.0,2.7674747696578526e-68
799.0,2.7282330094863532e-68
800.0,2.6691346613091497e-68
801.0,2.603629171006563e-68
802.0,2.5302339324490316e-68
803.0,2.506036151063301e-68
804.0,2.4180820953881414e-68
805.0,2.3931586345387435e-68
806.0,2.299824249457527e-68
807.0,2.290458654796219e-68
808.0,2.235391862661894e-68
809.0,2.1686219589824318e-68
810.0,2.115238072280077e-68
811.0,2.0682495628010873e-68
812.0,2.0024128798404374e-68
813.0,1.9408953658905985e-68
814.0,1.912490979147027e-68
815.0,1.8839486327561794e-68
816.0,1.8393077129555945e-68
817.0,1.7726226977515865e-68
818.0,1.740902135606776e-68
819.0,1.6576244009326555e-68
820.0,1.650338577992662e-68
821.0,1.6101586847557151e-68
822.0,1.5841817528790689e-68
823.0,1.5111512068960231e-68
824.0,1.4325899112871156e-68
825.0,1.4288019556516081e-68
826.0,1.3934075527667628e-68
827.0,1.344286835835955e-68
828.0,1.2983722624450627e-68
829.0,1.268774449684906e-68
830.0,1.253805130689347e-68
831.0,1.2015955486758657e-68
832.0,1.1727659143050345e-68
833.0,1.1227349545295309e-68
834.0,1.0974914846051012e-68
835.0,1.0697691201739824e-68
836.0,1.0055260225275845e-68
837.0,1.0063924989669562e-68
838.0,9.650987048898873e-69
839.0,9.028977967054002e-69
840.0,8.962097655659106e-69
841.0,8.711698478734748e-69
842.0,8.292784812818203e-69
843.0,7.885858939387785e-69
844.0,7.842366768163363e-69
845.0,7.516774985881594e-69
846.0,7.166472822068049e-69
847.0,6.855091446539218e-69
848.0,6.644519722604952e-69
849.0,6.299432762466483e-69
850.0,5.854310131698513e-69
851.0,5.995727200368204e-69
852.0,5.442967633268922e-69
853.0,5.094133086921123e-69
854.0,4.983578040155538e-69
855.0,5.000328108009329e-69
856.0,4.676521835596706e-69
857.0,4.0442538554719217e-69
858.0,4.055249058121655e-69
859.0,4.189105640612766e-69
860.0,3.811372946657273e-69
861.0,3.100495589455442e-69
862.0,3.2750191425337756e-69
863.0,3.4081995356309727e-69
864.0,3.066773476886703e-69
865.0,2.3489330130861377e-69
866.0,2.604443362942231e-69
867.0,2.430200619394809e-69
868.0,2.1680151632750446e-69
869.0,1.515859481016904e-69
870.0,1.966984191439386e-69
871.0,1.8608464224590162e-69
872.0,1.5348842362906458e-69
873.0,9.125552899441889e-70
874.0,1.4483382676856142e-69
875.0,1.341724535012008e-69
876.0,9.51812202307125e-70
877.0,4.798987858994535e-70
878.0,8.18220583831807e-70
879.0,6.930389781059242e-70
880.0,4.86906196668383e-70
881.0,3.250116099521568e-70
882.0,3.476881044240198e-70
883.0,2.637418126203062e-70
884.0,1.0146604836599421e-70
885.0,1.0806434877624315e-70
886.0,2.2259459256693277e-71
887.0,8.248361469381116e-72
888.0,0.0
889.0,0.0
890.0,0.0
891.0,0.0
892.0,0.0
893.0,0.0
894.0,0.0
895.0,0.0
896.0,0.0
897.0,0.0
898.0,0.0
899.0,0.0
900.0,0.0
901.0,0.0
902.0,0.0
903.0,0.0
904.0,0.0
905.0,0.0
906.0,0.0
907.0,0.0
908.0,0.0
909.0,0.0
910.0,0.0
911.0,0.0
912.0,0.0
913.0,0.0
914.0,0.0
915.0,0.0
916.0,0.0
917.0,0.0
918.0,0.0
919.0,0.0
920.0,0.0
921.0,0.0
922.0,0.0
923.0,0.0
924.0,0.0
925.0,0.0
926.0,0.0
927.0,0.0
928.0,0.0
