k,Ek
1.0,0.01877983982004148
2.0,0.23076747486228796
3.0,0.4362985857018504
4.0,1.3394547135052568
5.0,2.555349771846618
6.0,3.3235497637686975
7.0,5.004679724596652
8.0,6.804547508606403
9.0,10.566720512078795
10.0,11.412553512746669
11.0,12.729206865560746
12.0,15.67282278626687
13.0,17.02940850572556
14.0,18.12213778095368
15.0,16.63389425121288
16.0,19.284346164440148
17.0,18.18753308417928
18.0,18.166654288507143
19.0,15.894479572101357
20.0,15.443693761676705
21.0,15.370090198990864
22.0,13.424122892052228
23.0,12.471552835023411
24.0,11.691104934649855
25.0,11.184928328746714
26.0,10.581229026406216
27.0,9.71280529887684
28.0,9.357879242378726
29.0,8.868439496212757
30.0,8.679672107392618
31.0,8.272913614445505
32.0,7.848692300954866
33.0,7.824407504739191
34.0,7.50882529222046
35.0,7.072436818510987
36.0,6.975580876346168
37.0,6.67187315921751
38.0,6.477778184727964
39.0,6.080518696065593
40.0,6.036301517697819
41.0,5.906663793454673
42.0,5.5671969633277545
43.0,5.465035293316613
44.0,5.184791675026855
45.0,5.258001133439749
46.0,4.892018363080561
47.0,4.806664632092148
48.0,4.841558544391044
49.0,4.7017482605995164
50.0,4.632497725684416
51.0,4.461747788283054
52.0,4.467809740300627
53.0,4.4050779011453125
54.0,4.319194987190803
55.0,4.264390433238486
56.0,4.275124227563407
57.0,4.309484952781336
58.0,4.195853352961078
59.0,4.1985581065395605
60.0,4.277133654322746
61.0,4.236504753032844
62.0,4.315148387931786
63.0,4.204858113695338
64.0,4.331494624117059
65.0,4.25272405495866
66.0,3.9521583223083776
67.0,3.8071740727722
68.0,3.555215816872351
69.0,3.4644153247595297
70.0,3.247371197364789
71.0,3.067844120606288
72.0,3.0077362211317924
73.0,2.7858141741593814
74.0,2.726799120992355
75.0,2.536268247132397
76.0,2.4417373324775085
77.0,2.309899243608925
78.0,2.164040875691318
79.0,2.081332520291929
80.0,1.9400117737602511
81.0,1.8648464120083186
82.0,1.7233379626867793
83.0,1.5957521181397691
84.0,1.5107593750985704
85.0,1.3605828549060108
86.0,1.2811444710193942
87.0,1.1425854116649732
88.0,1.0224755049563479
89.0,0.8911433836780939
90.0,0.785747795968738
91.0,0.6601776878562974
92.0,0.5681774287225243
93.0,0.48749664034044715
94.0,0.4270844401503664
95.0,0.36484000717172105
96.0,0.30450173734261443
97.0,0.27641637303127264
98.0,0.2272396290225193
99.0,0.1881679718406896
100.0,0.15505233941740434
101.0,0.1289994016315494
102.0,0.10561396060128872
103.0,0.07659024572561168
104.0,0.047967270694168174
105.0,0.04985532851727124
106.0,0.03307784195337097
107.0,0.020085310344985372
108.0,0.006487542104885285
109.0,0.006544726820237114
110.0,0.0013886813855874384
111.0,3.7498678298869044e-05
112.0,0.0
113.0,0.0
114.0,0.0
115.0,0.0
116.0,0.0
117.0,0.0
118.0,0.0
119.0,0.0
120.0,0.0
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.0
125.0,0.0
126.0,0.0
127.0,0.0
128.0,0.0
