k,Es1,Es2,Es3
1.0,0.00017368993328983548,0.00018371992568434837,0.0008157425490303321
2.0,0.001167097485364516,0.0012702317507578133,0.0016445001300376843
3.0,0.0024220425468242674,0.0027975662233760768,0.004111249907491732
4.0,0.006621497467125322,0.007332680638011971,0.008209161769282606
5.0,0.015391748950222724,0.014240711626419319,0.014745559561565364
6.0,0.019086261375718748,0.021607851673128415,0.020057884386048882
7.0,0.031508324833938096,0.02930243768792768,0.030114650617433396
8.0,0.040403032721960996,0.039530949693102585,0.04325003368250724
9.0,0.061770684585188626,0.06725877277992091,0.06578752203174791
10.0,0.07039550488597308,0.06507777283671005,0.07017741755077313
11.0,0.07961099728053189,0.08872372983527821,0.08595900371337997
12.0,0.09859597541200793,0.10352923762351465,0.09834023489410464
13.0,0.11821396251567029,0.11892861347279074,0.1147296817350455
14.0,0.12684935029435007,0.12769796792535537,0.12742102438709435
15.0,0.12477994648492088,0.12644598354813097,0.12705249905030563
16.0,0.1533172383408523,0.1457617950757082,0.14869020665725152
17.0,0.1498071085997897,0.14598279014843707,0.15039375615117714
18.0,0.15022489721989746,0.14432796908167655,0.15525154578276298
19.0,0.13940097083062633,0.13508962795852156,0.13804316902872443
20.0,0.13654150164255108,0.14116116434816156,0.13475939232918815
21.0,0.1381130576665333,0.13183597424224403,0.13386200541541746
22.0,0.11696471046557788,0.11682716662385276,0.11602913293859204
23.0,0.11026532692248411,0.10504912375229285,0.10694544079469763
24.0,0.09499788948944092,0.09561601434837944,0.09042410078766638
25.0,0.08498672373101944,0.08341105319965879,0.08442915943443527
26.0,0.07240336850973532,0.07462515258797359,0.07214543492786443
27.0,0.05985222391278977,0.06258680190220321,0.06228120199935788
28.0,0.055095036753746884,0.05490939226188889,0.05429953358351518
29.0,0.04934050658119567,0.049106989264682356,0.04956917159556157
30.0,0.04435863122233655,0.04354808220284802,0.04367326108287907
31.0,0.041697654150233014,0.04209361120215933,0.04270240137206937
32.0,0.03815838773340143,0.03776666628849873,0.03812014310805604
33.0,0.03726127331745522,0.03684056678395,0.03731719759364407
34.0,0.0343927882052684,0.03495718281430038,0.03447771647715746
35.0,0.03192839444866357,0.03190544703374999,0.0319469156025919
36.0,0.03098025224229482,0.029924131860874482,0.030209573934269124
37.0,0.028082314382088785,0.02769468498036528,0.027807884398129416
38.0,0.026254813904628325,0.025917075700872993,0.026437180210046235
39.0,0.02408109646054995,0.024067937695824146,0.023724054168579246
40.0,0.022623096581137484,0.0228737400959112,0.022708928733308355
41.0,0.02176564598595581,0.021434127060900896,0.021727359850181822
42.0,0.01925889557808147,0.019589458001212087,0.019439066216421153
43.0,0.018690420860924394,0.01865460312468701,0.018368192148539887
44.0,0.016712732747285044,0.016822204086006032,0.017035152964172472
45.0,0.01634380791706358,0.01631367136928139,0.016130568623525843
46.0,0.014456463895163377,0.014565105384116579,0.01455794525512201
47.0,0.013924921902436993,0.013954847129066878,0.013878284895564719
48.0,0.013072712121165269,0.013164350559471284,0.012913683466613082
49.0,0.012236711977540865,0.01230429058167655,0.012230696051386448
50.0,0.01159818350672826,0.01135084772668325,0.011603575365535072
51.0,0.010534719776928204,0.010572806624876816,0.010664975354695006
52.0,0.010211581934920258,0.010301340908729441,0.010295130430158712
53.0,0.009610153224097716,0.009468308274097425,0.009469607395302636
54.0,0.009003680865865596,0.008950569121070784,0.008811049710794955
55.0,0.008380981180328838,0.008304580132056497,0.00830033571223103
56.0,0.007962971559512148,0.007951991964443707,0.008046231459074533
57.0,0.007638840146889087,0.007675453492632044,0.007735599569658587
58.0,0.007167437097493,0.00712442136478875,0.007035732417598224
59.0,0.006762141238485525,0.006743010130901804,0.0067125082867915496
60.0,0.006397465436521729,0.0064807803810167505,0.0065009500602110065
61.0,0.005994214689665239,0.006003352745463648,0.006029004617428672
62.0,0.005729262881349364,0.005802059509208489,0.0057486622956938556
63.0,0.005352933320741488,0.005282383121828212,0.005282224907870119
64.0,0.005174940629059811,0.005142101578329352,0.005147191655993549
