k,Ek
1.0,0.07151272376526344
2.0,0.2105904519687645
3.0,0.6419253024180576
4.0,1.3365627831570883
5.0,2.788032785621862
6.0,3.733028172566967
7.0,5.686303546601519
8.0,7.783826143249392
9.0,11.72629141917859
10.0,12.533873619831898
11.0,13.713834137775452
12.0,16.496670478131016
13.0,18.342901621190222
14.0,18.824105857439804
15.0,18.638471794923277
16.0,22.123597312761106
17.0,21.11037220909221
18.0,20.356463621860723
19.0,18.375026172201185
20.0,18.130573843849184
21.0,17.618079760750025
22.0,15.546013128192431
23.0,14.524010625118521
24.0,13.468791128427311
25.0,13.01564196420404
26.0,11.914089185780744
27.0,10.895400271660268
28.0,10.689180257823812
29.0,10.080382970467921
30.0,9.726896298759902
31.0,9.40770589827055
32.0,8.930811202373878
33.0,8.833545878857025
34.0,8.535260139734724
35.0,7.959528883294651
36.0,7.852126021031392
37.0,7.504398233802598
38.0,7.241537719888305
39.0,6.7778592485624785
40.0,6.680282854571271
41.0,6.455345577640566
42.0,6.034999159998879
43.0,5.919734168675885
44.0,5.6256592422433815
45.0,5.550934205012226
46.0,5.206010238041922
47.0,5.0720406699251
48.0,4.924625525689242
49.0,4.819012994345933
50.0,4.694801315382323
51.0,4.418395186066901
52.0,4.366303383592609
53.0,4.215232950080477
54.0,4.012854420309144
55.0,3.9014773394335998
56.0,3.817763800610305
57.0,3.7330172391313576
58.0,3.575938430474732
59.0,3.4607930758896885
60.0,3.392149483154738
61.0,3.276300452049277
62.0,3.1877663493693684
63.0,3.0205862999857995
64.0,3.021842422948496
65.0,2.9958295583042394
66.0,2.8373326457121433
67.0,2.7996696813803035
68.0,2.6747513545993717
69.0,2.6725505961113396
70.0,2.55817618681817
71.0,2.4701787933573787
72.0,2.461524073522759
73.0,2.37607912080371
74.0,2.3514542896390576
75.0,2.247093454998723
76.0,2.218074953098312
77.0,2.162509957135346
78.0,2.0867610422421
79.0,2.058937882456227
80.0,2.010095156325558
81.0,1.9900466392647513
82.0,1.9373113292100625
83.0,1.878391445621922
84.0,1.8348951689282333
85.0,1.8174257650669237
86.0,1.7707362333529182
87.0,1.7059292337630267
88.0,1.6826158500952328
89.0,1.6576344861795163
90.0,1.6327143423587953
91.0,1.5798129276530564
92.0,1.55030424432151
93.0,1.52195281156273
94.0,1.490412055488356
95.0,1.4592212430382314
96.0,1.4447417162684022
97.0,1.4165402460907486
98.0,1.39578808065456
99.0,1.3488863556613995
100.0,1.3318842196015284
101.0,1.3068835077930692
102.0,1.284841198733751
103.0,1.2605308812676912
104.0,1.217388503207006
105.0,1.230156152333523
106.0,1.188117806505907
107.0,1.17074252608057
108.0,1.1504683093945038
109.0,1.138069748396162
110.0,1.1107996041715036
111.0,1.088600518614395
112.0,1.080916900527594
113.0,1.060663362813797
114.0,1.0484505106844928
115.0,1.0176988507522833
116.0,1.0159815686085594
117.0,0.9959282114377223
118.0,0.9658886692706693
119.0,0.9551371758431328
120.0,0.9514499420160172
121.0,0.9315996574412072
122.0,0.9214656195381833
123.0,0.9023591853369493
124.0,0.8875225417063655
125.0,0.8830119976406569
126.0,0.8606649953385515
127.0,0.8480727358849939
128.0,0.8379174595332632
129.0,0.8328653820650913
130.0,0.813343620121307
131.0,0.7987609483232162
132.0,0.8022143608211209
133.0,0.7798588593286265
134.0,0.7718235921704281
135.0,0.7586267963526361
136.0,0.7527809622236353
137.0,0.7473968946530215
138.0,0.7275859710766954
139.0,0.7180385128674689
140.0,0.7141879466475017
141.0,0.7037030618489654
142.0,0.6973222177684857
143.0,0.6787466470616359
144.0,0.6752607860959804
145.0,0.6702477988219918
146.0,0.6626474249778241
147.0,0.6520439050983874
148.0,0.6440265294567636
149.0,0.6382393894098685
150.0,0.6284062992180276
151.0,0.6208681920995901
152.0,0.6137037949117249
153.0,0.6069753225460361
154.0,0.603402670430129
155.0,0.5896720833608083
156.0,0.588821991905211
157.0,0.5837324977053197
158.0,0.5730252328424924
159.0,0.5669164618836791
160.0,0.5646110432975684
161.0,0.5608653448494509
162.0,0.5490889029515602
163.0,0.5477283011154586
164.0,0.5367612550156728
165.0,0.5372415082641903
166.0,0.5258461390938132
167.0,0.5263217206207931
