k,Ek
1.0,0.037553482479926015
2.0,0.23669419936487682
3.0,0.59042475156545
4.0,1.4268046723366146
5.0,2.7123266246906708
6.0,3.8466232964205687
7.0,5.677417973215116
8.0,7.142768606541475
9.0,10.899568681656913
10.0,11.360522525868335
11.0,13.385004449493627
12.0,15.58865522796137
13.0,17.858173671030503
14.0,18.71517754957291
15.0,17.634275696572168
16.0,19.8211376128765
17.0,19.318025818146943
18.0,18.633910722666563
19.0,17.53792252265239
20.0,17.09235495651956
21.0,15.928763936964664
22.0,14.330211445288093
23.0,13.406088631601655
24.0,12.479972065260636
25.0,12.01923894694279
26.0,11.104256832827582
27.0,10.160382659398016
28.0,10.01755220957811
29.0,9.473154610008482
30.0,8.891712761359564
31.0,8.752275045009782
32.0,8.054163978368788
33.0,8.037316235315943
34.0,7.816651179481672
35.0,7.343281925406581
36.0,7.093408546580728
37.0,6.779669852662759
38.0,6.589597392451847
39.0,6.17973690468531
40.0,6.15043800418043
41.0,5.958886364723371
42.0,5.541727218211561
43.0,5.428511729360614
44.0,5.083163617811428
45.0,5.094892634126545
46.0,4.739065124713959
47.0,4.6160803769395695
48.0,4.545808234711164
49.0,4.377110287398687
50.0,4.288635173307337
51.0,3.9996170151105197
52.0,3.987750375629155
53.0,3.8139056819556405
54.0,3.6897784371560345
55.0,3.5508122248536513
56.0,3.4505330823974782
57.0,3.4357931639779475
58.0,3.26549181638784
59.0,3.1691805395011667
60.0,3.1127304359738353
61.0,3.019559402171387
62.0,2.92535925918758
63.0,2.762495792946763
64.0,2.7818267602793347
65.0,2.7624695288116126
66.0,2.5963038952243194
67.0,2.585002875148786
68.0,2.474949364517773
69.0,2.472539220267792
70.0,2.3537576506670437
71.0,2.27474901916328
72.0,2.294999471546574
73.0,2.206293207017196
74.0,2.1977818226785297
75.0,2.0962870589694886
76.0,2.072005525985463
77.0,2.0340859076374027
78.0,1.9692123011717955
79.0,1.9366605742538279
80.0,1.8941260794411479
81.0,1.8823538988936412
82.0,1.83586260377793
83.0,1.7963330150235681
84.0,1.750834733955789
85.0,1.7446602834000176
86.0,1.706123451000424
87.0,1.6583901354037334
88.0,1.6366817403183467
89.0,1.6127693358522885
