k,Ek
1.0,0.014023392065589528
2.0,0.1153884458941056
3.0,0.2775340392701229
4.0,0.6495137487140282
5.0,1.2451582504733107
6.0,1.778420527238415
7.0,2.4725307432318875
8.0,3.4189498853660263
9.0,5.198976174800094
10.0,5.724487362804993
11.0,6.633860065341905
12.0,8.438753723997596
13.0,9.812176436344986
14.0,10.610107915893881
15.0,11.172946559628658
16.0,13.13202905875905
17.0,11.72201445747747
18.0,10.414087510981815
19.0,7.858816485936275
20.0,6.968414426669581
21.0,5.7555373599476285
22.0,3.359441286637235
23.0,2.075171985226789
24.0,1.2399684245314124
25.0,0.5745087784933075
26.0,0.14308441709465253
27.0,0.07645326454796891
28.0,0.002531780484999046
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
