k,E_ux,E_uy,E_uz
1.0,0.011551114278071506,0.022727560441991087,0.014740450034287957
2.0,0.08964573401598593,0.06256023214289487,0.04931772046227718
3.0,0.16751816671323583,0.16048300733159673,0.17120519356150593
4.0,0.5426499454196557,0.4542383022100732,0.3797872268353535
5.0,0.9048056359852668,0.7714297468022855,0.8366707393690307
6.0,1.4515667895123965,1.5201721738097618,1.4178583505831615
7.0,1.8446701091467292,1.8004457710799153,1.667385431089009
8.0,2.487085377230377,2.4347169366409473,2.52816397490523
9.0,3.6899397805803575,3.6877856494625916,3.7764996927538914
10.0,4.124452641696141,3.7557860865488846,4.0797794597563
11.0,4.566680634948869,4.564808335669863,4.803319073402539
12.0,5.544783305289836,5.182061863728438,5.700924447283494
13.0,5.808108280343415,5.931386708745607,5.9176982584824644
14.0,6.099318868662129,6.55064099054579,6.342154325009812
15.0,6.16589170857736,6.214109097199334,6.178663760557998
16.0,6.936266523542911,6.608839014578692,6.917695810395728
17.0,6.495489276515088,6.1951968575159,6.513775717096577
18.0,6.3836171965729225,6.640079782123746,6.574049952213849
19.0,5.549983785180193,5.670651174094223,5.975793591462717
20.0,5.843378514295049,5.746775809430282,5.761594616955092
21.0,5.424581939484033,5.423117056553953,5.585206522554295
22.0,4.812024490580839,4.834004621487651,4.820726852720914
23.0,4.458589108043988,4.520558605309946,4.6142226157323085
24.0,4.158976388127247,4.309228823079253,4.389909882050035
25.0,4.042417256103381,4.074605337722632,4.148879917108254
26.0,3.8277393518339977,3.8505046326587578,3.851655281074881
27.0,3.449737530652315,3.4395136091459446,3.4472486262551048
28.0,3.3515126910043342,3.3742586690258953,3.4483556745188353
29.0,3.177546862065515,3.1476597900434795,3.227254947958262
30.0,3.0574932918641404,2.984941130216656,3.071685452347925
31.0,2.933242457311045,2.935948364417557,3.03163427862507
32.0,2.7303481859465615,2.777253068027018,2.8075961129089246
33.0,2.7824804077749925,2.7662399389136105,2.7686377150355415
34.0,2.678189252710672,2.6379295943560597,2.705068729064656
35.0,2.4726213797203296,2.474352159601208,2.4673061069819546
36.0,2.4372725302323786,2.421167627254702,2.4644385959428283
37.0,2.305281999874617,2.2846378553313555,2.349078777887374
38.0,2.2629200498532067,2.245569636857198,2.2373900398566793
39.0,2.086536279926698,2.1215980660185796,2.1364433179488813
40.0,2.0088484668192956,2.0480789914589024,2.1171882211189934
41.0,1.988991230665911,2.0030704965408623,2.0299240665571823
42.0,1.8990511805629298,1.90183287274741,1.9265568850714323
43.0,1.850029844709628,1.8317714978261996,1.8450986885087668
44.0,1.7307038891783977,1.7227500346708697,1.7560249881029786
45.0,1.7385257699394068,1.7166617327854075,1.7551884665006146
46.0,1.6111014604272822,1.592492215436151,1.6305085173812173
47.0,1.562267048713279,1.5242586592671814,1.5702275570835225
48.0,1.5422452527368538,1.5365712344500067,1.549736891259156
49.0,1.4801512105960541,1.4845438460669262,1.5036068724465603
50.0,1.4411063115847622,1.4204118566518327,1.4457296400260429
51.0,1.370246696232567,1.353776880822769,1.3706011806350953
52.0,1.329328204022066,1.3160089658341658,1.3491462538189527
53.0,1.2736682026792914,1.293082145614818,1.3133045192521666
54.0,1.2449699367967106,1.2303422737770235,1.2494783486923864
55.0,1.1983000764660692,1.1938568409494752,1.2081387756590807
56.0,1.1619948412004737,1.1577718395064922,1.167446961531028
57.0,1.1719917074738788,1.1367577813082632,1.1648871343196738
58.0,1.0957188642301756,1.1028750904689317,1.107231748923404
59.0,1.0551522955207784,1.0476798362931405,1.0767451496871587
60.0,1.0533263385733858,1.043551642517447,1.0587944245148548
61.0,1.0100860228598878,0.9962821709900873,1.0153805532527695
62.0,0.9867224695076103,0.9715153928114194,0.9868530506853406
63.0,0.9237913061783815,0.9295058856104764,0.9489938227060908
64.0,0.9274061312564963,0.9144127564792002,0.9358931058702653
65.0,0.914705146376631,0.9122154115912987,0.9221635074455143
66.0,0.8677292060619527,0.8620946829468634,0.8844256951128445
67.0,0.8560139715590889,0.8487932890172042,0.8717583730521115
68.0,0.8248948740795158,0.8136737613316195,0.8251185792905034
69.0,0.8198605308277692,0.8126284844741515,0.829543170352282
70.0,0.776824177505604,0.7743504776465708,0.7872052938237215
71.0,0.753493113281209,0.7514090999724778,0.7556912655658302
72.0,0.755962423254302,0.7457022043527053,0.752091147658293
73.0,0.7290911273321758,0.7131451779780359,0.7273806035493787
74.0,0.7159335486291977,0.7151686495299809,0.7218125530834324
75.0,0.6878371653124877,0.678500274110635,0.6894410235706421
76.0,0.6802964637247056,0.6775346290807688,0.6769119900784495
77.0,0.662695065087192,0.6605824688126848,0.6768255455606496
78.0,0.6368369714188801,0.6312121053311042,0.6452521244917983
79.0,0.6291266339450341,0.6240138555340754,0.6293390699260196
80.0,0.6105613923023574,0.6076811960790084,0.6135675956716607
81.0,0.6111178869259313,0.5997838065803777,0.6078804943893408
82.0,0.5862173144230473,0.5848456876900354,0.5908483058731068
83.0,0.569168055148792,0.5608342109544189,0.575682614635151
84.0,0.5562248611083959,0.5462503493515453,0.5613762172202341
85.0,0.5520891422100619,0.5490066161322419,0.5553983532911335
86.0,0.5339583090768644,0.5314761196236772,0.5402679448450556
87.0,0.5210586996132862,0.5098182587648392,0.5227125689867044
88.0,0.5167234538640358,0.5055781560315372,0.5174225557397839
89.0,0.5078424514649266,0.5003477513000435,0.5032603448031352
90.0,0.49923137035123183,0.4947482285974155,0.5002384825412381
91.0,0.48069596353571203,0.47841636917549113,0.48043483614866916
92.0,0.4744757443980058,0.4692984410194418,0.47521305615812726
93.0,0.46240521011900537,0.4593409472145116,0.46592547488681013
94.0,0.4522927497767869,0.4472015796229458,0.45239138304068194
95.0,0.4397723080337829,0.438287464365057,0.44204475521084075
96.0,0.43645561497673296,0.4328015181824184,0.4379831253804627
97.0,0.42998700124010863,0.42491689087082984,0.43029796022149236
98.0,0.4249065421828065,0.418834845045476,0.4246706640533025
99.0,0.4073752450896806,0.40089029342948806,0.41081926682889874
100.0,0.40380839105791544,0.3974903892906809,0.40494029336491827
101.0,0.3958652461375184,0.3889425364041273,0.40121808203798354
102.0,0.3880505373479888,0.38273041065181695,0.3876819196037181
103.0,0.3809819854797632,0.37865432975437824,0.3819854028253419
104.0,0.36631757596856057,0.3627594885053177,0.3689555318328278
105.0,0.37451237435160023,0.36773248442128204,0.37320412725074714
106.0,0.3587948766881007,0.35303482582418394,0.35991412680884355
107.0,0.3551135102581842,0.34963114185531813,0.3534676801218131
108.0,0.3493159185013605,0.34048558355350594,0.3472433559319148
109.0,0.34437746144763376,0.34420087669810984,0.34388996504466596
110.0,0.33547243846954183,0.331599063349297,0.3343701232705395
111.0,0.32530003119686607,0.3214787434667917,0.32802096138607134
112.0,0.32535760128134095,0.32093369656028825,0.32484162293877783
113.0,0.3199265243243862,0.3150325653193644,0.3182984994277552
114.0,0.31462471201161846,0.31196072784233536,0.3172799368585125
115.0,0.3046863579167344,0.3013433351431624,0.3052428029879783
116.0,0.30527298681731296,0.30114455961787795,0.3037149189802415
117.0,0.3011412393614671,0.29535478534866283,0.3012395908051686
118.0,0.2917222673778669,0.28678683429850144,0.2933567305300927
119.0,0.28741688806192217,0.28155324347597244,0.2862330023240922
120.0,0.28517959774399754,0.28161351814899305,0.2840781795462222
121.0,0.2806820189448553,0.275973605497818,0.2805539824966251
122.0,0.2758393305066005,0.2721052340354238,0.2747742795079747
123.0,0.27128493297871675,0.2689184239330881,0.2696141280795493
124.0,0.26665099771215867,0.26270872640212256,0.2654932228782956
125.0,0.2644199571293972,0.2602461939827256,0.2641488529866484
126.0,0.2564103502086774,0.25206984525535375,0.25610521989728724
127.0,0.2527004423186674,0.25108271587707076,0.25328807837712025
128.0,0.24966022643827385,0.2468298965231947,0.24993578857511622
129.0,0.249210170674281,0.24401465803883696,0.24930539462610043
130.0,0.24437154842774467,0.23912257124974462,0.24253571251325337
131.0,0.2377217393343101,0.23431539236074372,0.2367123172668693
132.0,0.2378586426387314,0.23545676006935087,0.23895579160975355
133.0,0.23157113377542762,0.2275916367368434,0.23091585309071042
134.0,0.23066824571894626,0.227160782645781,0.2276544780299369
