k,E_Jx,E_Jy,E_Jz
1.0,2.4790676077214067e-38,5.354965590090101e-38,3.954434031952707e-38
2.0,2.3683238991881428e-37,1.5734281251716768e-37,1.3356638718844978e-37
3.0,3.80469878778303e-37,3.833755400351497e-37,4.828085366356292e-37
4.0,1.3253866782803825e-36,1.3519427547159764e-36,8.74698905867493e-37
5.0,2.2576924606577198e-36,2.1209293489662924e-36,2.1966779185356052e-36
6.0,3.673056807988465e-36,4.128246968535383e-36,3.38420335619827e-36
7.0,4.796641183977941e-36,4.503429968604667e-36,4.105274935365507e-36
8.0,5.812697627546022e-36,6.245317421133044e-36,6.080929906386292e-36
9.0,9.101564577856976e-36,9.301075460517331e-36,9.288387360389892e-36
10.0,9.858911783152566e-36,9.113477441199683e-36,9.845035501396055e-36
11.0,1.0999719582875798e-35,1.084135951076883e-35,1.125893005872004e-35
12.0,1.2352257338030154e-35,1.2056554434432656e-35,1.2848676704400055e-35
13.0,1.3126642173121203e-35,1.3517783854889407e-35,1.3819763387036886e-35
14.0,1.2562400801707505e-35,1.4328436061483944e-35,1.4019320263546078e-35
15.0,1.2873383496466711e-35,1.2772232715902395e-35,1.34703382737377e-35
16.0,1.3977138607681802e-35,1.3620075434233449e-35,1.4122667096396156e-35
17.0,1.2002563865521333e-35,1.220047007508007e-35,1.3037281784299826e-35
18.0,1.1255127541072659e-35,1.1611686344912088e-35,1.153119866923341e-35
19.0,9.159079798283288e-36,9.357244376679596e-36,9.730125600428491e-36
20.0,8.09430233554348e-36,8.44691274852351e-36,8.690608004927109e-36
21.0,6.65986610884686e-36,7.09793213798842e-36,7.198852061681678e-36
22.0,5.178746673974896e-36,5.5343628567132185e-36,5.5941042016469736e-36
23.0,4.1795887486784945e-36,4.3133557158930375e-36,4.3713463723691855e-36
24.0,3.0083060670812045e-36,3.092505900331937e-36,3.171884712903711e-36
25.0,2.1501608109221728e-36,2.1834724108864418e-36,2.29086541734264e-36
26.0,1.445551045908882e-36,1.480796319500097e-36,1.4950777778679722e-36
27.0,8.908864488866032e-37,9.302249526901937e-37,9.259520620551303e-37
28.0,5.783373064190686e-37,5.747366738606777e-37,5.783398154212418e-37
29.0,3.1301195149696754e-37,2.994897217411733e-37,3.092335884385057e-37
30.0,1.7764563385666296e-37,1.7021171012811461e-37,1.655152227084327e-37
31.0,9.530023104846002e-38,8.953325971556608e-38,8.765487560353361e-38
32.0,4.73468464340902e-38,4.410652153741053e-38,4.354373077254522e-38
33.0,2.2835613573581397e-38,2.1759900644659732e-38,2.0638935720295567e-38
34.0,9.89631001511093e-39,9.451694863567804e-39,8.922526948626247e-39
35.0,4.246300841219098e-39,4.032088852347689e-39,3.671189585221509e-39
36.0,1.902003877892405e-39,1.745860586594276e-39,1.5641555011565526e-39
37.0,8.498803767981325e-40,6.882997291482045e-40,5.812253333787903e-40
38.0,4.448862713155824e-40,3.079929849536748e-40,2.2433535914336185e-40
39.0,2.9427283996258012e-40,1.7705334018252048e-40,1.068291462036905e-40
40.0,2.162752646807446e-40,1.1203685558068427e-40,5.77930736159001e-41
41.0,1.8083797108282217e-40,8.375182103733464e-41,3.8841157953927853e-41
42.0,1.3951968355415772e-40,6.788725546873461e-41,2.9926368893300216e-41
43.0,1.2153236629450897e-40,5.79290220636842e-41,2.775345965558665e-41
44.0,9.644969192598813e-41,4.413126709781341e-41,2.096800344392562e-41
45.0,7.01732262190472e-41,2.820177203901839e-41,1.380527861141033e-41
46.0,4.138920630942539e-41,1.7504545976597524e-41,7.888242995470657e-42
47.0,2.6938919293588806e-41,1.0847979783094994e-41,4.9801743761998846e-42
48.0,1.4699492390204749e-41,5.971489585005623e-42,2.965040492450416e-42
49.0,7.255313644254067e-42,2.967080327017366e-42,1.5574883448483355e-42
50.0,3.138168648936204e-42,1.1024264451034071e-42,6.061151709085977e-43
51.0,1.1896445073077222e-42,4.2483680266557816e-43,2.0017525463898313e-43
52.0,5.00565577311814e-43,1.5460576819416884e-43,7.297040932339746e-44
53.0,1.9570591393347093e-43,4.707594740675923e-44,2.540343269499916e-44
54.0,6.17262899029411e-44,1.5623875151848598e-44,6.913804487695508e-45
55.0,1.821858291351923e-44,3.948509283065386e-45,1.8070863563296282e-45
56.0,5.07748316297018e-45,9.910461641683735e-46,5.473878363559221e-46
57.0,9.941027601124403e-46,2.2756576023877445e-46,1.196555075669294e-46
58.0,1.3431732148638329e-46,6.887815485844332e-47,2.8664680817085166e-47
59.0,4.670191577445588e-47,3.2592707329513464e-47,1.182707501618118e-47
60.0,1.9595254836875733e-47,1.8692742065272614e-47,8.63955170109256e-48
61.0,1.0311514553689863e-47,1.0562438608157541e-47,5.3803086983004365e-48
62.0,5.1556488534087174e-48,6.645541331315745e-48,5.270195206685434e-48
63.0,2.879486371147115e-48,3.4827896643107847e-47,4.845007074832403e-47
64.0,1.1973975816587215e-48,4.7313902807597585e-47,4.527569876695691e-47
65.0,6.094973415698785e-49,1.441262219679688e-47,1.72209689186601e-47
66.0,4.110363452128438e-49,9.308539753244336e-48,1.155411083580067e-47
67.0,4.612340098510403e-49,7.41582001058795e-48,7.416529850243413e-48
68.0,2.4399421696713544e-49,4.211693517117324e-48,3.7476701069794046e-48
69.0,9.410035501379184e-50,1.8504560790088574e-48,1.503207425988613e-48
70.0,8.930959700779995e-51,1.8407253273738616e-49,1.954185655267383e-49
71.0,1.2899011062004553e-51,2.483573751830776e-50,1.6878336852740162e-50
72.0,3.572327847429391e-52,2.713877959966094e-51,3.108674498758443e-51
73.0,8.830534544854214e-53,6.5131447756826136e-52,4.1550812506440875e-52
74.0,4.220380393893144e-53,1.2762675554028941e-52,5.562882364014431e-53
75.0,2.1021896686236897e-53,7.27917386105282e-53,2.1168699927825687e-53
76.0,6.323379539060012e-54,3.6882861257711723e-53,9.867558091484852e-54
77.0,3.222934004640104e-54,2.8005004788973586e-53,5.738664060968091e-54
78.0,7.450134950609113e-55,1.6133895262688843e-53,3.6376645139963366e-54
79.0,2.3012651479676167e-55,1.0290557278725019e-53,1.89549590867664e-54
80.0,7.025387677184609e-56,2.5194629100479474e-54,4.23751088350435e-55
81.0,1.5698976725253206e-56,3.3946165391256374e-55,1.9733898728362612e-56
82.0,6.236024351565644e-57,7.488377780813125e-56,3.984425010829742e-57
83.0,8.854666530626097e-58,1.7036446398812284e-56,2.8882591840818827e-58
84.0,4.040449501418715e-59,2.3117004061188455e-58,1.7664065560609777e-58
85.0,7.215957654070738e-60,1.0503379958340196e-59,2.8423705858129857e-59
86.0,1.5313586643833108e-60,5.52289246439801e-60,3.0423868871837866e-60
87.0,4.499110576186978e-60,2.2051438900747046e-60,2.615183733484398e-60
88.0,4.255478404198116e-60,1.631854468764022e-60,2.165301511379117e-60
89.0,8.044300242970926e-61,1.550671447021314e-61,1.386726091205914e-59
90.0,4.873767718861413e-62,1.4823509700514407e-62,1.1935490110145833e-60
91.0,4.87108662912469e-63,3.2307917605397575e-63,6.612289025391535e-62
92.0,1.626228453149076e-62,1.518330532875954e-62,2.4930642639110718e-61
93.0,1.062770402932723e-62,1.0619576513924587e-62,1.070103620722252e-61
94.0,1.482225937078367e-65,1.6742794941665736e-65,7.320932884136136e-65
95.0,2.2508226034476007e-66,4.2594399426730903e-66,2.2449234223428065e-65
96.0,1.6859439971581121e-66,3.9151169110720695e-66,2.103503755712298e-65
97.0,1.7491052362204256e-66,4.156509487802177e-66,2.0930434358957453e-65
98.0,1.6869752605867603e-66,4.1277004787217573e-66,2.0339992798628223e-65
99.0,1.8908715715891032e-66,4.4084794336502663e-66,2.0081005808876176e-65
100.0,1.858446519584899e-66,4.458841305017083e-66,2.0816255784029966e-65
101.0,2.162529178559791e-66,4.907382817768048e-66,2.033846733847092e-65
102.0,2.2566781275283571e-66,5.200740093952911e-66,2.3288657088828425e-65
103.0,2.4062407498180076e-66,5.268978209629384e-66,2.374664932012024e-65
104.0,3.5473640749342913e-66,6.360534027208062e-66,2.5052575093949823e-65
105.0,2.898057828714189e-66,6.049558641598745e-66,2.3924727098327064e-65
106.0,3.1274509805135443e-66,6.283497950169535e-66,2.442562320494235e-65
107.0,2.9827401614916967e-66,6.433643928766943e-66,2.6711287301493717e-65
108.0,2.9926731105658576e-66,6.547825873632105e-66,2.462940906480717e-65
109.0,3.6391081944328e-66,7.139677016830882e-66,2.9258201934076264e-65
110.0,4.3063673649966224e-66,8.157871597103667e-66,3.038023121210278e-65
111.0,4.4633031585591723e-66,8.595776106874986e-66,3.014803252641143e-65
112.0,4.3581647047204335e-66,8.196365396654941e-66,2.9488949686578106e-65
113.0,4.268942030920994e-66,8.540462788401452e-66,3.2717073887804055e-65
114.0,5.958562485777839e-66,1.046599398932679e-65,3.4686740549864247e-65
115.0,8.320877510761497e-66,1.3006048441269262e-65,3.6939411873271256e-65
116.0,8.103343215325387e-66,1.265700481618429e-65,3.8082753538505e-65
117.0,9.497398314974359e-66,1.3662785659914772e-65,4.167075539202797e-65
118.0,9.897511273394447e-66,1.4198002424116924e-65,4.303502268936066e-65
119.0,1.1095724587577866e-65,1.6248409502443853e-65,4.622926975313815e-65
120.0,1.5103156118386928e-65,2.017864046370713e-65,5.128160352204854e-65
121.0,1.5619489101609057e-65,2.224352408616179e-65,5.08620255282938e-65
122.0,1.4329815500433945e-65,2.0332258806753864e-65,5.3613093451809414e-65
123.0,1.6705452960687422e-65,2.1129170205875987e-65,5.853166410897109e-65
124.0,1.8333443177422461e-65,2.578474260904179e-65,5.735659739567588e-65
125.0,2.3411494724343355e-65,2.8899913689963067e-65,6.311027365687514e-65
126.0,2.260465410782488e-65,2.603536388781225e-65,6.685830646501571e-65
127.0,2.064834609787132e-65,2.730813379977394e-65,6.523620648420881e-65
128.0,1.94072642533411e-65,2.6558683777763773e-65,6.606061525806826e-65
129.0,2.14922059403955e-65,2.7793415533788723e-65,6.551008894282292e-65
130.0,2.3978594377600997e-65,3.1417540239560987e-65,7.053973290077003e-65
131.0,2.280302488332697e-65,3.0019974371513533e-65,6.4763334952389055e-65
132.0,1.993851385472722e-65,2.5998367193220504e-65,6.476404684984392e-65
133.0,1.8212373026149962e-65,2.7285115833282097e-65,6.544235636120038e-65
134.0,1.7068529280484882e-65,2.624390413712365e-65,6.796946206265609e-65
135.0,1.8804972761354818e-65,2.916731793132107e-65,7.153502660032816e-65
136.0,2.0245495745157106e-65,2.9043050014354517e-65,6.68490287523156e-65
137.0,1.846158866175385e-65,2.79243162357623e-65,7.009845792662053e-65
138.0,1.544086524010316e-65,2.46090231842566e-65,6.080584927206871e-65
139.0,1.6159673806844876e-65,2.5620032674814296e-65,6.738149902113574e-65
140.0,1.4819063007459547e-65,2.473456718303766e-65,6.5737189429810325e-65
141.0,1.2306812472398863e-65,2.2455999265301776e-65,6.1685188810098e-65
142.0,9.487328057689119e-66,1.9691758219816547e-65,6.124375993913897e-65
143.0,8.521260825539862e-66,1.8027630130566686e-65,5.880467205824126e-65
144.0,7.579916228677899e-66,1.7889624927493635e-65,5.796543658287715e-65
145.0,8.124998153377039e-66,1.8583647451842916e-65,6.102923952711105e-65
146.0,7.687035579162806e-66,1.8844299106139678e-65,6.4191225119574705e-65
147.0,7.024676546990234e-66,1.8212131610891112e-65,6.161286722229155e-65
148.0,5.872475481840598e-66,1.6896178447532592e-65,6.045273693252759e-65
149.0,5.572800512767188e-66,1.7435309672101158e-65,5.972722913018644e-65
150.0,5.146453308814793e-66,1.705277447753932e-65,6.501326674424035e-65
151.0,5.554994082270497e-66,1.747753294271858e-65,6.456778618307217e-65
152.0,5.886003457655207e-66,1.8374025371355123e-65,6.550180202918831e-65
153.0,5.115664385484895e-66,1.7802860086735025e-65,6.903437485700996e-65
154.0,5.078648966996496e-66,1.8058444188053346e-65,6.774568997387575e-65
155.0,5.50821664716502e-66,1.866289106229907e-65,6.99447786925642e-65
156.0,4.88170701478802e-66,1.8743973679442565e-65,7.093823796457822e-65
157.0,5.399842963343847e-66,1.9364383636504874e-65,7.264485805164241e-65
158.0,5.021184187977375e-66,1.915045746518826e-65,6.9774952606353516e-65
159.0,5.458453878656678e-66,1.9962552239518388e-65,7.766578651589102e-65
160.0,5.062342074830562e-66,1.9655578660778223e-65,7.447670678803614e-65
161.0,5.68324826912484e-66,2.1356959243256877e-65,7.525538506195206e-65
162.0,5.494658827230749e-66,2.080380576857234e-65,8.005681528485647e-65
163.0,6.107417761934157e-66,2.203493171415012e-65,8.000713062426933e-65
164.0,5.718964545606545e-66,2.172398416077177e-65,8.109410657275517e-65
165.0,6.514726789242972e-66,2.316255082005412e-65,7.926833018475019e-65
166.0,6.444610639449636e-66,2.3779950082655784e-65,8.184340166566011e-65
167.0,6.778734456706255e-66,2.3713123972822227e-65,8.051746747911524e-65
168.0,8.037202058456549e-66,2.5478701237405993e-65,8.779851756354323e-65
169.0,8.963703029727571e-66,2.631554569008133e-65,8.759334417443195e-65
170.0,9.112611273267055e-66,2.734515616528246e-65,8.871723104106189e-65
171.0,9.276701552602463e-66,2.814956408680985e-65,9.029689482379428e-65
172.0,9.98699856942408e-66,2.8317106160046653e-65,8.991249824334154e-65
173.0,1.1732557547991483e-65,3.0737999275107727e-65,9.535720330068295e-65
174.0,1.2838484532796178e-65,3.1987810257732793e-65,9.534297428674737e-65
175.0,1.1643361018605185e-65,3.1973118467351233e-65,9.836763126472066e-65
176.0,1.1149771558445475e-65,3.1396153029526175e-65,9.402417806785165e-65
177.0,1.4632677097275152e-65,3.4838321656366566e-65,1.0201601393625582e-64
178.0,1.8000912888788016e-65,3.917685635151283e-65,1.06338408410367e-64
179.0,2.0345264568022377e-65,4.1576361304492565e-65,1.16730619637376e-64
180.0,1.9357489620422953e-65,4.1594467632575874e-65,1.2288603960905729e-64
181.0,2.3194314305444977e-65,4.610931454408614e-65,1.2034991759798582e-64
182.0,2.953862571759873e-65,5.475080443023725e-65,1.3260276062309662e-64
183.0,3.319659146245198e-65,5.650786760984619e-65,1.3537067836576193e-64
184.0,3.2929238948195415e-65,5.839910740359641e-65,1.4035332817759408e-64
185.0,3.1815083590601605e-65,5.470301244718223e-65,1.3408565899478209e-64
186.0,3.1251877178988505e-65,5.80782952364944e-65,1.3952740154384446e-64
187.0,3.946914789120211e-65,6.7623108185255626e-65,1.5149073558174002e-64
188.0,4.799554792893049e-65,7.201268314967181e-65,1.5574883607773712e-64
189.0,4.036413511363999e-65,6.617902579941039e-65,1.544440531863953e-64
190.0,4.123646792751724e-65,7.081911253769147e-65,1.5406670659511953e-64
191.0,4.338230147632561e-65,6.887412287549258e-65,1.586048282591487e-64
192.0,2.833326885183371e-65,5.5884875152967265e-65,1.4640960062501856e-64
193.0,4.263769227467843e-65,6.922580349956283e-65,1.5607830893760833e-64
194.0,4.7095366460687845e-65,7.487491314162803e-65,1.6637149337786743e-64
195.0,3.8136732842027625e-65,6.976200877395394e-65,1.5998042697497397e-64
196.0,4.272070222865463e-65,7.59451393431073e-65,1.641868419944397e-64
197.0,4.925654773432464e-65,8.268237137692171e-65,1.6797224498308516e-64
198.0,3.7802699393227455e-65,7.070982678452546e-65,1.649465899562457e-64
199.0,3.0343482803281847e-65,6.395157195305471e-65,1.5572677978400203e-64
200.0,3.6589505410553345e-65,6.966085550288159e-65,1.6557964496216886e-64
201.0,3.180911677081117e-65,6.379244034734889e-65,1.5464191128911548e-64
202.0,2.8014260675208417e-65,6.4358394131358395e-65,1.504933054531982e-64
203.0,3.0391922535325794e-65,6.448642151323866e-65,1.4775021309944902e-64
204.0,2.6128054145973958e-65,6.092327287787099e-65,1.523812677676657e-64
205.0,2.190519349710723e-65,5.614383338648736e-65,1.4946154802871199e-64
206.0,2.1021175199780955e-65,5.610101401544178e-65,1.4899724150969595e-64
207.0,2.1521240397724097e-65,5.739795207085617e-65,1.5174313673692513e-64
208.0,1.690054118109162e-65,5.400267953328205e-65,1.4518444608618802e-64
209.0,1.6013772420754602e-65,5.33992105739526e-65,1.4408295876078265e-64
210.0,1.6934944003074994e-65,5.456067106605436e-65,1.4459595726827881e-64
211.0,1.594117246468709e-65,5.291544791866968e-65,1.4541914219890634e-64
212.0,1.4536682521735168e-65,5.340290078491219e-65,1.4565933759829308e-64
213.0,1.5227936974960245e-65,5.36177704959358e-65,1.443053214226671e-64
214.0,1.5351281224402226e-65,5.50129828481681e-65,1.4969130294365922e-64
215.0,1.6002352191355237e-65,5.430036666732702e-65,1.4991678708453547e-64
216.0,1.6567500552124922e-65,5.582622123411548e-65,1.5676878202299395e-64
217.0,1.5877396482520132e-65,5.704181175310229e-65,1.582017583938843e-64
218.0,1.5498937063339849e-65,5.59254045441907e-65,1.5851188124574516e-64
219.0,1.6243739646821478e-65,5.821535906389368e-65,1.5791625086094445e-64
220.0,1.5612558473501959e-65,5.745056649910434e-65,1.5955587738600812e-64
221.0,1.692612842587151e-65,5.979915792071874e-65,1.7148696431280196e-64
222.0,1.6040217146271019e-65,6.025480182797383e-65,1.6174573123710494e-64
