vel,pdf
-10.960152578790046,2.1983645984333955e-10
-10.794876117404748,0.0
-10.62959965601945,0.0
-10.46432319463415,0.0
-10.299046733248852,0.0
-10.133770271863556,0.0
-9.968493810478256,0.0
-9.803217349092959,0.0
-9.63794088770766,0.0
-9.472664426322362,0.0
-9.307387964937064,0.0
-9.142111503551765,2.1983645984333955e-10
-8.976835042166467,0.0
-8.811558580781169,2.1983645984333955e-10
-8.64628211939587,0.0
-8.481005658010572,0.0
-8.315729196625275,0.0
-8.150452735239975,0.0
-7.985176273854679,0.0
-7.819899812469381,0.0
-7.654623351084083,2.1983645984333955e-10
-7.489346889698783,0.0
-7.324070428313485,0.0
-7.158793966928187,0.0
-6.993517505542888,0.0
-6.828241044157592,0.0
-6.662964582772293,0.0
-6.497688121386995,2.1983645984333955e-10
-6.332411660001696,2.1983645984333955e-10
-6.167135198616398,2.1983645984333955e-10
-6.0018587372311005,0.0
-5.836582275845802,0.0
-5.671305814460504,0.0
-5.506029353075205,0.0
-5.340752891689907,2.1983645984333955e-10
-5.1754764303046095,4.396729196866791e-10
-5.010199968919312,4.396729196866791e-10
-4.844923507534014,0.0
-4.679647046148715,2.1983645984333955e-10
-4.514370584763417,8.793458393733582e-10
-4.349094123378119,8.793458393733582e-10
-4.183817661992821,4.396729196866791e-10
-4.0185412006075225,2.1983645984333955e-10
-3.853264739222224,6.595093795300187e-10
-3.687988277836926,1.0991822992166978e-09
-3.522711816451628,6.595093795300187e-10
-3.3574353550663294,2.1983645984333957e-09
-3.192158893681031,2.1983645984333957e-09
-3.0268824322957326,3.737219817336772e-09
-2.861605970910436,3.957056277180112e-09
-2.696329509525138,5.05623857639681e-09
-2.5310530481398397,7.474439634673544e-09
-2.3657765867545413,1.1431495911853656e-08
-2.200500125369243,1.1871168831540336e-08
-2.0352236639839445,2.2423318904020633e-08
-1.8699472025986463,3.0557267918224196e-08
-1.7046707412133482,5.034254930412476e-08
-1.5393942798280498,7.914112554360224e-08
-1.3741178184427514,1.4179451659895402e-07
-1.2088413570574548,2.7479557480417444e-07
-1.0435648956721566,5.614623184398892e-07
-0.8782884342868583,1.3442999519420213e-06
-0.71301197290156,3.7748118519699833e-06
-0.5477355115162618,1.4348066224595242e-05
-0.38245905013096343,8.973240650593465e-05
-0.21718258874566512,0.0016111761381167992
-0.05190612736036683,0.06243563161038103
0.11337033402493148,0.023817281231260024
0.27864679541022974,0.00048615228288197685
0.443923256795528,4.410095253625266e-05
0.6091997181808246,8.592527869436769e-06
0.774476179566123,2.5582368831969423e-06
0.9397526409514214,9.778325733831743e-07
1.1050291023367196,4.278017508551388e-07
1.270305563722018,2.178579317047495e-07
1.4355820251073164,1.1497446849806658e-07
1.6008584864926145,6.639061087268855e-08
1.766134947877913,4.1329254450547837e-08
1.931411409263211,2.7919230400104123e-08
2.0966878706485095,1.7806753247310505e-08
2.261964332033806,1.3410024050443712e-08
2.4272407934191045,1.0332313612636959e-08
2.592517254804403,4.61656565671013e-09
2.757793716189701,4.83640211655347e-09
2.923070177574999,4.176892737023452e-09
3.0883466389602976,2.6380375181200747e-09
3.253623100345596,2.418201058276735e-09
3.4188995617308944,1.5388552189033769e-09
3.5841760231161923,8.793458393733582e-10
3.7494524845014907,4.396729196866791e-10
3.914728945886789,2.1983645984333955e-10
4.080005407272085,2.1983645984333955e-10
4.245281868657385,6.595093795300187e-10
4.410558330042682,8.793458393733582e-10
4.575834791427982,0.0
4.741111252813279,2.1983645984333955e-10
4.906387714198579,2.1983645984333955e-10
5.071664175583876,0.0
5.236940636969172,2.1983645984333955e-10
5.402217098354472,0.0
5.567493559739769,0.0
5.732770021125068,2.1983645984333955e-10
5.898046482510365,0.0
6.063322943895665,0.0
6.228599405280962,0.0
6.393875866666262,0.0
6.5591523280515585,2.1983645984333955e-10
6.724428789436855,2.1983645984333955e-10
6.889705250822155,0.0
7.054981712207452,2.1983645984333955e-10
7.220258173592752,2.1983645984333955e-10
7.385534634978049,0.0
7.550811096363348,2.1983645984333955e-10
7.7160875577486445,0.0
7.881364019133944,0.0
8.04664048051924,0.0
8.21191694190454,0.0
8.377193403289837,0.0
8.542469864675134,0.0
8.707746326060434,2.1983645984333955e-10
8.87302278744573,0.0
9.03829924883103,0.0
9.203575710216327,0.0
9.368852171601628,0.0
9.534128632986924,0.0
9.699405094372224,2.1983645984333955e-10
9.864681555757521,0.0
10.029958017142821,0.0
10.195234478528118,0.0
10.360510939913414,0.0
10.525787401298713,0.0
10.69106386268401,0.0
10.85634032406931,0.0
11.021616785454606,0.0
11.186893246839906,0.0
11.352169708225203,0.0
11.517446169610503,0.0
11.6827226309958,0.0
11.8479990923811,0.0
12.013275553766396,0.0
12.178552015151693,0.0
12.343828476536993,0.0
12.50910493792229,0.0
12.67438139930759,0.0
12.839657860692887,0.0
13.004934322078187,0.0
13.170210783463483,0.0
13.335487244848784,0.0
13.50076370623408,0.0
13.66604016761938,2.1983645984333955e-10
