k,E_Jx,E_Jy,E_Jz
44.0,8.445057509128116e-39,4.048010567796785e-39,1.947284172906245e-39
45.0,6.1640888169868e-39,2.6013808345791325e-39,1.1820584171086591e-39
46.0,3.605258068042285e-39,1.541937541116656e-39,6.969024593446014e-40
47.0,2.1212570541535218e-39,8.96494032120299e-40,4.2149402085566675e-40
48.0,1.1300602311637964e-39,4.855738336545012e-40,2.5692658983369024e-40
49.0,5.774430856785418e-40,2.3288203092795227e-40,1.2184093850363902e-40
50.0,2.5344109758707176e-40,9.012521654092367e-41,4.771023162779537e-41
51.0,9.52581496169393e-41,3.24180554389162e-41,1.63476839978489e-41
52.0,3.6888327922471135e-41,1.1941124867412563e-41,5.978803405620819e-42
53.0,1.3568112577936054e-41,3.765657611493634e-42,1.7962827819316005e-42
54.0,4.3199009499004415e-42,1.0727509863911e-42,5.526909059929864e-43
55.0,1.4150691679813343e-42,2.8130304118604106e-43,1.5672845387027563e-43
56.0,3.1402567012655106e-43,7.418835422646249e-44,3.400691180582659e-44
57.0,5.008974980616504e-44,1.643335268260206e-44,8.020469705054416e-45
58.0,9.292906512415053e-45,4.67414671628054e-45,1.9965585183683197e-45
59.0,2.8831169186391226e-45,2.2283339279059792e-45,7.991604830517859e-46
60.0,1.3158462775797883e-45,1.1870569391601051e-45,5.588449210886007e-46
61.0,6.672585869387839e-46,6.498459637934194e-46,3.291303577542641e-46
62.0,3.387014437414259e-46,4.0832730740787925e-46,3.60450036210286e-46
63.0,1.6939163937839817e-46,2.2780353747131327e-45,3.137413531303951e-45
64.0,7.4838184392264955e-47,3.132799766938959e-45,3.0631240200507734e-45
65.0,3.6890880777487637e-47,9.062580507677942e-46,1.0758603117097859e-45
66.0,2.4747020554226636e-47,6.6493858955484386e-46,6.34549563397547e-46
67.0,2.4298844805064036e-47,4.547192221814819e-46,5.125320330397733e-46
68.0,1.2753446690259248e-47,1.8929221289567035e-46,2.168294022830449e-46
69.0,4.899840539871786e-48,8.449165506047809e-47,6.888453844560418e-47
70.0,5.6006660356816326e-49,1.3400091466944478e-47,1.1776963858115947e-47
71.0,5.651631577567958e-50,1.0820185315359164e-48,1.0555747219530523e-48
72.0,1.5213800623301878e-50,1.2540663383995344e-49,1.3606768233987356e-49
73.0,4.934129186289733e-51,3.136646059436637e-50,2.0996613163150856e-50
74.0,2.246339709102645e-51,7.077351288602998e-51,2.513076019417745e-51
75.0,1.163417636651295e-51,3.563481849386502e-51,1.0708063880594874e-51
76.0,7.487717042513731e-52,1.946304040246465e-51,6.25396854398828e-52
