tau,correlation,mean_initial,mean_evolved,variance_initial,variance_evolved,retained_fraction
0.0,1.0,0.045800463997512524,0.045800463997512524,18.450130340001454,18.450130340001454,1.0
0.001179130979490365,0.9897200252671456,0.045800463997512524,0.04514877547312781,18.450130340001454,18.44135046566067,1.0
0.00235826195898073,0.9662142776349779,0.045800463997512524,0.044580423202241336,18.450130340001454,18.4401977329347,1.0
0.0035373929384710946,0.9351824803254553,0.045800463997512524,0.04405542997836405,18.450130340001454,18.46783661903891,1.0
0.00471652391796146,0.8988810203219485,0.045800463997512524,0.04374711712882401,18.450130340001454,18.488464203402014,1.0
0.005895654897451825,0.8593944879145496,0.045800463997512524,0.04372226716497256,18.450130340001454,18.50536251361073,1.0
0.007074785876942189,0.8184867604311574,0.045800463997512524,0.0435790039681942,18.450130340001454,18.5070687232749,1.0
0.008253916856432555,0.7761098811901819,0.045800463997512524,0.04334879153817299,18.450130340001454,18.516338460467235,1.0
0.00943304783592292,0.7339395273984103,0.045800463997512524,0.04308044792954072,18.450130340001454,18.492944495618563,1.0
0.010612178815413284,0.6914681892137874,0.045800463997512524,0.04298689837249555,18.450130340001454,18.48792575217166,1.0
0.01179130979490365,0.6490354099649036,0.045800463997512524,0.04292209097146702,18.450130340001454,18.500299643682606,1.0
0.012970440774394014,0.6073769901087602,0.045800463997512524,0.04293465811254436,18.450130340001454,18.51565239355451,1.0
0.014149571753884378,0.5665870281350041,0.045800463997512524,0.04317146407495544,18.450130340001454,18.53643445040549,1.0
0.015328702733374744,0.5274641638137126,0.045800463997512524,0.04344733168131615,18.450130340001454,18.53427863176834,1.0
0.01650783371286511,0.4888765841061729,0.045800463997512524,0.04385830039017243,18.450130340001454,18.59136338722283,1.0
0.017686964692355474,0.45264854968715507,0.045800463997512524,0.044291397192526505,18.450130340001454,18.589022917710558,1.0
0.01886609567184584,0.41806114570280145,0.045800463997512524,0.044617401202986254,18.450130340001454,18.583339862401413,1.0
0.020045226651336203,0.3853435228144028,0.045800463997512524,0.04476430882670601,18.450130340001454,18.570299512156268,1.0
0.021224357630826567,0.3545487344235037,0.045800463997512524,0.04469549795275836,18.450130340001454,18.54061218166782,1.0
0.022403488610316935,0.32544733720310454,0.045800463997512524,0.04420241783860517,18.450130340001454,18.502453195640925,1.0
0.0235826195898073,0.297804629664137,0.045800463997512524,0.04364742600341726,18.450130340001454,18.500193946225803,1.0
0.024761750569297664,0.2722288557838548,0.045800463997512524,0.04326171351176649,18.450130340001454,18.45637439561961,1.0
0.025940881548788028,0.24784613378444906,0.045800463997512524,0.04271056050090794,18.450130340001454,18.47146544575125,1.0
0.027120012528278392,0.22520961079933072,0.045800463997512524,0.04225116038111441,18.450130340001454,18.48203613067608,1.0
0.028299143507768756,0.20433839818128421,0.045800463997512524,0.041898958683790496,18.450130340001454,18.467896631395675,1.0
0.029478274487259124,0.18516101942273216,0.045800463997512524,0.0418625682688817,18.450130340001454,18.433264571540203,1.0
0.03065740546674949,0.1673848986730324,0.045800463997512524,0.042250023587374334,18.450130340001454,18.42322930343799,1.0
0.031836536446239856,0.15104437735196818,0.045800463997512524,0.042812708423784505,18.450130340001454,18.406459201288342,1.0
0.03301566742573022,0.13589749543145033,0.045800463997512524,0.04351712500005368,18.450130340001454,18.399509414001763,1.0
0.034194798405220585,0.12181184434407959,0.045800463997512524,0.043940929279177685,18.450130340001454,18.428129524969705,1.0
